"pred.var","coef","target"
"cg02810156",0.006530016,"CCL11"
"cg00266322",0.004795163,"CCL11"
"cg05675803",0.038750541,"CCL11"
"cg16725607",0.00267605,"CCL11"
"cg12168153",0.013116489,"CCL11"
"cg24816460",0.014754982,"CCL11"
"cg00329270",0.005830958,"CCL11"
"cg23550082",0.001396942,"CCL11"
"cg19411025",0.004082406,"CCL11"
"cg03307911",0.020696873,"CCL11"
"cg26527775",0.006054838,"CCL11"
"cg14419141",0.002649644,"CCL11"
"cg13746518",0.000357025,"CCL11"
"cg23916896",-0.008127931,"CCL11"
"cg11045746",0.002213166,"CCL11"
"cg25577130",0.007927657,"CCL11"
"cg20520115",0.011605113,"CCL11"
"cg04038601",0.001306358,"CCL11"
"cg14861803",0.003748378,"CCL11"
"cg17529235",0.014885528,"CCL11"
"cg23571857",0.00960995,"CCL11"
"cg21104363",0.017866418,"CCL11"
"cg23387863",0.000667376,"CCL11"
"cg19070398",0.013769041,"CCL11"
"cg14178380",0.000557218,"CCL11"
"cg23060513",0.002051857,"CCL11"
"cg03197992",0.002462039,"CCL11"
"cg13469874",0.001718882,"CCL11"
"cg23516680",0.00568468,"CCL11"
"cg10104674",-0.003668971,"CCL11"
"cg00706191",-0.002826191,"CCL11"
"cg12352225",-0.010119779,"CCL11"
"cg25587617",-0.037296128,"CCL11"
"cg02630888",0.009394067,"CCL11"
"cg02970679",0.013928673,"CCL11"
"cg03431155",0.003917319,"CCL11"
"cg01564925",2.21e-05,"CCL11"
"cg05575921",-0.060901803,"CCL11"
"cg06135765",0.00319149,"CCL11"
"cg09427417",0.002227927,"CCL11"
"cg13212362",0.005404921,"CCL11"
"cg26150922",-0.00584808,"CCL11"
"cg16574333",0.006587497,"CCL11"
"cg26102082",0.001785156,"CCL11"
"cg02840535",-0.007258262,"CCL11"
