"pred.var","coef"
"cg02296583",-0.008699123
"cg13612480",-0.058871168
"cg23092358",0.000120377
"cg16626280",-0.038485323
"cg26851608",-0.004101909
"cg18068240",-0.001630446
"cg11731890",-0.009633549
"cg11065518",0.023480529
"cg06005309",-0.013514023
"cg00291003",0.006536297
"cg05278442",0.013602289
"cg13281719",0.003146357
"cg04747308",0.001931862
"cg01855760",5.48e-05
"cg27128322",0.015120831
"cg14019670",0.012327197
"cg14333338",-0.014006424
"cg02077793",0.001715284
"cg11183036",-0.003011123
"cg17651821",-0.00091519
"cg15910001",0.021512316
"cg09350798",-0.000974053
"cg02930132",0.008188112
"cg17544639",-0.000621509
"cg01444397",0.036776919
"cg09153080",0.003613713
"cg04787024",0.013772226
"cg16277214",-0.00323307
"cg19008088",-0.013996509
"cg23038567",-0.002999284
"cg19246761",-0.008122919
"cg03652336",-0.002365379
"cg09370405",0.02794139
"cg01504447",-0.006199729
"cg22202121",-0.010989387
"cg20893579",0.005277773
"cg18055467",0.018355951
"cg23595222",-0.022339822
"cg25220063",0.004530374
"cg22299097",-0.011158665
"cg12051819",-0.005472605
"cg07147033",-0.007389305
"cg08035323",0.017799937
"cg14965639",-0.01745919
"cg19295068",-0.019590205
"cg18978531",-0.013239968
"cg13302154",-0.026265674
"cg14074174",-0.011607481
"cg26640901",-0.003701722
"cg22437405",-0.001554746
"cg12146151",-0.019096248
"cg14192542",-0.004157699
"cg03032053",-0.002582009
"cg18642234",-0.016321326
"cg14634687",-0.004811283
"cg06208270",-0.000630046
"cg27462975",0.000919892
"cg14091103",-0.002964164
"cg07676709",-0.003991005
"cg19114595",-0.007916966
"cg17527975",-0.014749306
"cg15474579",-0.003947619
"cg06372654",-0.010538136
"cg07628841",0.00780727
"cg12596182",-0.007377251
"cg24346659",-0.018618958
"cg19718359",-0.007699699
"cg22904406",-0.022911433
"cg14956201",-0.005871456
"cg14267671",-0.00070668
"cg20544516",-0.003341185
"cg03497652",-0.011811876
"cg22367159",-0.014192959
"cg19693031",0.059219554
"cg05091585",-0.004698223
"cg02741985",-0.002722916
"cg17845732",0.017331116
"cg22768358",0.002445975
"cg18223453",0.001394978
"cg14592260",0.007796882
"cg19010566",0.002153402
"cg02736204",-0.015686117
"cg06690548",0.04155289
"cg16426510",-0.01655839
"cg25373579",-0.003131576
"cg25202367",0.011810389
"cg21406869",0.016441896
"cg11643285",0.004910667
"cg27469606",-0.006145512
"cg19116924",0.01804273
"cg24954210",0.00612139
"cg20080548",-0.008530217
"cg14437092",0.003456354
"cg13387869",0.014066592
"cg10360420",0.003823506
"cg18366249",0.000782682
"cg13964781",0.004793375
"cg02068388",-0.001960752
"cg17129554",0.017376167
"cg00884173",-0.000176575
"cg02130555",0.000230744
"cg10225525",-0.001280711
"cg14521987",-0.009029267
"cg06994832",-0.002678007
"cg23804261",-0.01049303
"cg22002629",-0.000816641
"cg17051905",-0.018880978
"cg04341097",0.010570515
"cg01053766",0.006643241
