"pred.var","coef"
"cg03316174",-0.010885571
"cg26072213",-0.003134544
"cg19511862",0.001748826
"cg15906151",0.009376268
"cg11478085",0.023657534
"cg05147735",0.021152218
"cg10043865",0.019995237
"cg06101725",5.43e-05
"cg18634665",0.00402447
"cg23213442",-0.007278773
"cg18235026",0.012285919
"cg06642941",0.000806994
"cg17623341",0.002800958
"cg23652526",0.000358978
"cg21342910",0.000322316
"cg00574958",-0.028862683
"cg26297866",-0.000952426
"cg14185808",0.014608328
"cg24068372",0.01785462
"cg12984580",0.014045251
"cg25856120",-0.004828224
"cg04378167",0.010000092
"cg14632140",0.000869525
"cg04336379",0.005128079
"cg07581775",0.00664466
"cg07386898",0.003742619
"cg22063247",0.003615723
"cg04731544",0.002462247
"cg15501231",0.00198846
"cg09469355",-0.02677653
"cg26871347",0.005260818
"cg12167564",0.000340979
"cg00165994",0.000664987
"cg15703756",-0.024543118
"cg16564894",0.004823217
"cg19693031",-0.03307203
"cg27563968",0.000340582
"cg07998216",0.004180655
"cg17440248",0.001421542
"cg11978634",0.020846385
"cg10211383",0.016953049
"cg21722418",-0.0122405
"cg27219691",-0.017762622
"cg27243685",0.015257447
"cg23424800",-0.003158601
"cg26519342",-0.002682555
"cg03507277",-0.00758988
"cg03389928",0.022783793
"cg26187942",-0.015697596
"cg00555666",-0.006161368
"cg12674145",-0.002489412
"cg01257345",-0.001732804
"cg24155937",-0.001542766
"cg06838090",-0.005400239
"cg04012515",-0.009338345
"cg03529015",0.001397553
"cg21133540",-0.000746206
"cg11331028",-0.00232183
"cg05368608",-0.01729867
