"pred.var","coef"
"cg20113993",-0.011450129
"cg03539511",0.020474357
"cg06866597",-0.006067813
"cg05529249",0.002246831
"cg16152482",0.003084465
"cg01829024",-0.007781076
"cg24457521",0.003709383
"cg05082708",-0.014215874
"cg21121843",0.023005609
"cg11020853",-0.023745318
"cg07414492",0.007974463
"cg14086364",-0.004702334
"cg12622242",0.002046152
"cg16520357",-0.008650305
"cg10690747",0.026405575
"cg00288844",-0.040945265
"cg00920892",0.024066443
"cg20777437",-0.001133134
"cg15390444",-0.012400394
"cg07726287",-0.001994837
"cg01912040",-0.001455741
"cg19779057",0.000360442
"cg09443484",0.002103898
"cg10759293",-0.007834924
"cg06387622",-0.012425341
"cg02304156",0.002983534
"cg19251719",0.001995339
"cg26176348",0.002324551
"cg14898177",0.002138068
"cg10159032",-0.000231425
"cg20355735",0.000851287
"cg04202736",-0.008500269
"cg11010909",0.010563597
"cg14784944",0.00391152
"cg25447872",0.009346092
