"pred.var","coef"
cg00252472,-1.310655767
cg06690548,-4.216180105
cg06846495,-1.286290884
cg12825509,-2.100396211
cg18282388,2.544944004
cg02489552,-0.617638568
cg02499214,-2.257356579
cg04487857,1.665336359
cg05457221,-2.178739596
cg08677210,-1.759320389
cg08916477,-0.393979238
cg09365259,-0.949278032
cg10121429,-2.854005581
cg10665488,-2.090860624
cg11613559,-0.101818229
cg12197470,-1.149281838
cg13222915,2.526724506
cg15821562,-0.787074226
cg17058475,-2.354447498
cg17185710,-1.064096339
cg18125510,-1.682079919
cg21626848,-1.564349187
cg00085438,-0.061721373
cg00232160,-0.400685648
cg00567854,-0.656477944
cg00883689,-0.654870882
cg00986580,-0.617339018
cg01236573,-0.59434359
cg01526748,-0.216916879
cg01687189,0.927406796
cg02394812,-0.694863109
cg02719954,-0.370703557
cg03599037,-0.829743181
cg03725309,2.124366597
cg03954858,0.873176238
cg03997643,-0.727733452
cg04491089,-0.844695545
cg04843111,-1.139153626
cg04907244,0.516767482
cg05143694,-0.423905515
cg05670953,-1.636697865
cg05903736,1.454655087
cg06469895,-0.892691257
cg06940168,-0.445213315
cg06996423,2.95466755
cg07173823,-1.008124234
cg07504977,1.574784263
cg08115371,-0.205357983
cg08335767,1.048792699
cg08962271,-0.600563123
cg09326440,-2.581806548
cg11130692,1.248195091
cg11414821,-3.979919688
cg11682350,-1.248280987
cg12807764,-0.357952588
cg14741228,0.785022946
cg15253293,-0.823571312
cg16290996,-1.086418091
cg16492851,1.79274259
cg16702313,-1.315449346
cg16977872,2.190171303
cg17192599,0.143010299
cg18032812,0.475091069
cg18336453,-1.770050909
cg18842187,2.590282849
cg18933331,-0.25796732
cg19266329,1.447456167
cg19459094,1.760240016
cg19704902,-0.808258498
cg20970369,-1.261178652
cg21870662,1.232857936
cg23482898,1.658675912
cg23893460,2.514980977
cg23975840,0.639772659
cg24242519,-0.480435512
cg24754633,-1.636265987
cg26829071,0.795233518
cg27537125,2.535768052
cg00045114,0.041735538
cg00907427,1.352251657
cg01054402,0.083410133
cg01614597,-0.064382827
cg01620757,0.452986519
cg01859460,1.043444332
cg02104962,-0.784983632
cg02707799,-0.120336635
cg02995045,0.882954359
cg03013276,-0.232507863
cg03184011,-0.555837339
cg03331229,0.228346355
cg03524354,0.058680103
cg04134965,-0.714532912
cg04551776,0.2792017
cg04737759,0.146012784
cg05205842,-0.18195775
cg05683445,0.692975102
cg06638811,-0.021919284
cg06657944,-0.510761504
cg07104958,0.021686272
cg07957491,-0.083101604
cg08559712,0.113069215
cg08766770,-0.283536399
cg09155905,0.006209399
cg09175009,0.009215644
cg09882118,-0.643744855
cg09999582,0.494728469
cg10010533,-0.006335877
cg10317175,-0.380724004
cg10401367,-0.260955292
cg11237406,0.476724233
cg11253416,-0.122919756
cg11376147,-3.002898895
cg12340144,0.83123781
cg12616487,-0.524442236
cg12688670,0.393966999
cg13442969,-0.114014065
cg14576319,0.712015943
cg14588638,0.444601406
cg16014412,0.928890673
cg16246545,0.214889735
cg16407699,-0.532859923
cg16696035,1.750292833
cg16882373,-0.263861129
cg17485681,-0.128832226
cg17757575,-0.015735693
cg18018313,0.708770648
cg19238380,-0.094188062
cg19939077,-0.821627003
cg20249277,-0.448430067
cg20303561,0.702519212
cg20699548,-0.73979889
cg21187770,-0.132262779
cg21248060,0.00784857
cg21429551,-0.097713912
cg22160883,-0.329343182
cg22332722,-0.052944584
cg22871253,0.108738481
cg22986999,-0.056613061
cg23166988,-0.100931728
cg23299618,-0.040004416
cg23444264,-0.167342052
cg23654112,-0.562824731
cg25109663,-0.356723933
cg27492942,-0.32293212
