"pred.var","coef"
"cg09458394",-0.000351105
"cg00063174",-0.007959853
"cg25523753",-0.002370391
"cg12678451",-0.020792013
"cg19019972",-0.002957148
"cg21819468",-0.004361308
"cg03796735",0.005819406
"cg26664161",-0.005845071
"cg11252953",0.014328829
"cg15351186",-0.000911256
"cg03725309",0.00370908
"cg02711608",0.011317992
"cg08810007",-0.016860111
"cg14854503",0.002878043
"cg16963852",0.00446598
"cg22989419",0.002505681
"cg01598009",-0.020038412
"cg03607573",0.0035425
"cg02927747",0.003757289
"cg11071401",-0.001916055
"cg18204120",-0.002415293
"cg15114651",0.001642209
"cg11688093",-0.003191353
"cg02812767",0.012602076
"cg17417856",0.007067586
"cg12800266",0.010537196
"cg01557754",0.001277733
"cg23152742",-0.002870935
"cg03636183",0.012369019
"cg02902617",0.004418669
"cg05681670",0.008423954
"cg17501210",0.045704052
"cg02981078",-0.011138541
"cg04321303",0.000177163
"cg07573872",0.030507949
"cg13633881",0.074257027
"cg10840994",0.000493533
"cg06690548",0.001832483
"cg10314139",0.016884021
"cg15342087",0.004619352
"cg06624020",-0.000504614
"cg02443816",-0.000512863
"cg16246188",-0.009993085
"cg18731761",0.002729333
"cg00988050",-0.005888807
"cg15748304",-0.00317041
"cg07755493",0.003064237
"cg13054523",0.006637211
"cg17969853",0.010871034
"cg15644756",-0.064648158
"cg00638202",0.004896032
