"pred.var","coef"
"intercept",1412953.39254369
"Age",10486.9154709606
"cg13947317",316962.649178047
"cg22510139",33927.1042004982
"cg10116490",-160612.38037752
"cg27396830",75457.172737727
"cg19414383",87985.7385731754
"cg03345668",292882.891146832
"cg17719473",-23280.1708826049
"cg20569940",43791.1814305006
"cg26156167",302011.972254053
"cg10578779",1916187.01549815
"cg15631106",-58500.5954454476
"cg22704788",-126869.88236218
"cg20240347",1506.06523251617
"cg17803430",1417.4544509295
"cg20800892",44895.4699699278
"cg01909777",267379.556352075
"cg15849439",-924930.562774245
"cg12605080",69711.0384054294
"cg01163330",102607.992030838
"cg10753966",49483.2637577931
"cg19501902",65359.7662542834
"cg13287247",-13569.7190359544
"cg22930808",-13531.3000709588
"cg08122652",-84787.7023031268
"cg00959259",-129131.72586728
"cg20576510",412413.885770526
"cg10202557",-67296.7247612121
"cg27134386",28426.3562302711
"cg10584300",89744.1911998483
"cg03274876",1278255.84781551
"cg17287155",49852.9705498131
"cg04764584",71716.6572003217
"cg15679283",-122608.108445007
"cg17533522",79928.4910004432
"cg14868212",4164.67797282168
"cg16274199",-74981.8669686426
"cg13309828",-2250.34996712024
"cg12612118",310046.33914592
"cg03415429",2041585.62692023
"cg15947697",121995.190790731
"cg11867651",36182.6031150856
"cg17096289",-37112.8869358414
"cg01517384",-365377.903453363
"cg16928551",32859.0505733278
"cg26987613",-138988.774240994
"cg20660989",179808.73886943
"cg21288889",86176.990380872
"cg06649410",237640.825118413
"cg17501210",-158080.498156623
"cg02515033",-148592.026773051
"cg00907204",-189628.621321394
"cg16847637",365717.659979232
"cg03473532",-102274.497094702
"cg07205627",50242.3695665496
"cg14508358",1295.17169803724
"cg04661709",15704.821353515
"cg13428009",-272551.671661212
"cg08410533",-25204.311153396
"cg12329405",919782.449554223
"cg14984434",31913.9444224943
"cg07690734",-775104.454133489
"cg17310258",43111.3581650275
"cg14955976",-56813.1200493903
"cg06975311",96077.8284882403
"cg16246188",128678.195328148
"cg07631435",15934.6708720117
"cg12211040",8327.36024762002
"cg11764442",273393.764741911
"cg10535933",-14274.5886611694
"cg01624571",-496774.282631727
"cg24521756",4509.12762171859
"cg07842062",44148.7648938048
"cg08072101",17501.365336574
"cg03955530",44832.143583848
"cg07839457",-124411.671161941
"cg04976151",-22183.8608401972
"cg03400403",-152041.37743652
"cg04745805",-227903.357270092
"cg14545159",168092.194697058
"cg18181703",-287256.310409528
"cg17100770",102877.709461468
"cg27145096",-98452.6232264516
"cg13077366",-960.488279805987
"cg21656736",-115220.44384793
"cg07573872",-73518.9148699959
"cg21736089",-282215.13718356
"cg07543883",13142.658803561
"cg10224107",-185521.722167204
"cg03760035",264986.91289513
"cg03706056",-21140.3058442701
"cg13092901",-53686.4041975208
