"pred.var","coef"
"cg22683035",0.001268429
"cg15739543",0.028140561
"cg25716740",0.003969895
"cg03965198",0.002276373
"cg16795290",0.004979784
"cg25675477",-0.020875859
"cg26717995",-0.00073287
"cg07611000",0.002860073
"cg14915749",0.005539847
"cg17881958",-0.003725293
"cg15803122",0.009176168
"cg11940847",-0.000564855
"cg18294483",-0.004994965
"cg25932461",0.013027903
"cg16430909",0.007124728
"cg25130238",-0.010985152
"cg00276792",-0.006856098
"cg00973309",0.004236116
"cg19211077",-0.0030591
"cg04676771",-0.011100989
"cg16892443",0.002745673
"cg27661600",-0.011699865
"cg10440639",0.016067273
"cg03329539",0.012464031
"cg15845821",-0.019132867
"cg01715551",-0.0002604
"cg23959976",-0.015723734
"cg05658236",-0.010668191
"cg07549924",0.043061901
"cg04757345",0.006308384
"cg19266329",0.003528828
"cg23510258",-0.000281264
"cg16969872",0.005206795
"cg01620164",-0.001921505
"cg11421073",-0.004994434
"cg20146909",0.088101535
"cg26229224",-0.011514406
"cg03503785",0.007571643
"cg19220923",-0.008207614
"cg03412967",-0.016818115
"cg15857490",0.001943671
"cg04551395",-0.002568268
"cg14594295",-0.007499026
"cg17252489",0.019407693
"cg00587890",-0.009692511
"cg03846107",-0.000410925
"cg17896965",-0.000162286
"cg23831876",0.016978696
"cg24841424",-0.012618948
"cg06690548",0.019049403
"cg18011760",-0.006710897
"cg26910132",0.001444112
"cg20156545",0.003639594
"cg24655087",0.005449358
"cg23490077",-0.00613818
"cg20709046",-0.003559966
"cg04147875",-0.000325384
"cg12647496",-0.006679177
"cg21337927",-0.008845976
"cg06858185",-0.003223541
"cg19524824",-0.007306108
"cg12177182",0.01991801
"cg17890691",0.006097625
"cg25515091",0.009273878
"cg07123890",0.005817823
"cg04914281",-0.016552365
"cg20874668",-0.001298815
"cg05969038",0.007628056
"cg01928910",0.02859012
