"pred.var","coef"
"cg00543658",0.008451812
"cg24792813",0.032517651
"cg16718678",-0.003270708
"cg11508718",-0.003898184
"cg03108070",-0.014036272
"cg06711110",-0.009743601
"cg11436260",-0.002540267
"cg00607196",0.003869672
"cg13131185",-0.00859042
"cg00032756",-0.001927666
"cg25671977",-0.003498586
"cg08388746",-0.000382598
"cg18686206",-0.011513534
"cg15801007",-0.010544807
"cg22627981",-7.66e-06
"cg16999254",-0.002808057
"cg16411857",0.006538117
"cg20528338",0.013836094
"cg01447660",0.006656009
"cg03043157",0.002543586
"cg04085789",-0.005670144
"cg26236972",0.00910101
"cg04600027",-0.003546153
"cg23814743",-0.032239241
"cg26962778",-0.002340373
"cg25189904",-0.004624854
"cg13184736",-4.16e-05
"cg17372101",0.013001347
"cg09469355",-0.037912489
"cg00513208",-0.028314677
"cg08753172",0.006521529
"cg07839457",0.021331032
"cg04839131",-0.001115475
"cg19084479",-0.018688601
"cg27041049",-0.020077287
"cg04064963",0.00573785
"cg04904059",-0.000447933
"cg02099390",0.005962257
"cg27286011",0.028271569
"cg03013070",0.041676895
"cg15729137",-0.013206951
"cg00926657",0.017294807
"cg16973406",0.00316061
"cg14361252",-0.000257134
"cg21195277",0.002156448
"cg15963913",0.014744303
"cg10041232",0.022636074
"cg13535718",-0.000171831
"cg00380835",-0.001688497
"cg24204406",0.024260576
"cg11643285",-0.03474523
"cg00753287",0.003541578
"cg13853046",0.001401488
"cg06186727",0.001963783
"cg25764534",0.012983691
"cg17843887",0.002285348
"cg05304393",0.061635666
"cg11276500",0.000467798
"cg10644430",-0.003912974
"cg10090414",0.019544206
"cg26548542",0.002801325
"cg02162339",0.002815366
"cg03869448",0.000656181
"cg18108669",0.002208847
"cg10399970",-0.008592368
"cg08929467",0.004132502
"cg02286008",0.002922012
