"pred.var","coef"
"intercept",1091528.484
"Age",2589.667605
"cg00695391",-15088.66021
"cg16305333",36553.11897
"cg00970752",-14194.40186
"cg04967775",177517.6589
"cg06901711",2264.057961
"cg01431830",-3639.993911
"cg10578779",146477.4899
"cg26359730",11819.21115
"cg10585941",438.5729176
"cg01939962",-35147.84988
"cg06809285",-146515.6002
"cg11336382",3482.841768
"cg09920725",46536.50804
"cg24000528",-19400.6569
"cg13772414",5430.861096
"cg08007899",-2332.132004
"cg15808795",28774.94742
"cg24110177",37130.91737
"cg10753966",4642.530182
"cg00481951",2118.045427
"cg04748223",8312.269539
"cg22518157",1070.032363
"cg22714094",53286.46034
"cg10177080",6551.351707
"cg15845365",1233.95035
"cg27628536",-2420.194558
"cg24765579",3439.355527
"cg15988937",13203.8332
"cg02081065",35212.96978
"cg12612118",16375.78743
"cg12298697",-14671.0321
"cg20660989",29314.75099
"cg03546163",-26269.37946
"cg25325512",-17344.66813
"cg00684824",14641.46432
"cg02713068",18575.37031
"cg06649410",151820.9433
"cg17501210",-71334.66839
"cg03807873",-42833.45518
"cg21899558",-6957.300472
"cg07025011",37473.7498
"cg16847637",37585.63385
"cg06563451",204677.8489
"cg02716826",-32003.65766
"cg08410533",-9247.891289
"cg04196119",6184.119026
"cg12329405",386984.3557
"cg12379046",66943.13202
"cg03950121",96821.92398
"cg03096347",-26683.04211
"cg22620356",2091.250085
"cg17310258",10424.19061
"cg18886347",-4014.405112
"cg14592365",43339.39681
"cg07631435",44387.22915
"cg03112631",-34293.13275
"cg01635346",25375.20403
"cg25966649",4570.678353
"cg23510415",-141.2019671
"cg18159533",-416292.9884
"cg16982073",17051.78036
"cg25572904",7590.840524
"cg02150207",144468.2482
"cg13649020",-17000.95653
"cg06903325",34035.54055
"cg05078817",8753.600812
"cg13898384",66947.97213
"cg13634681",-71094.19477
"cg01624571",-109593.1762
"cg14153919",17498.96172
"cg05575505",-50734.14398
"cg19987111",-63923.65396
"cg05638439",-8688.357612
"cg26470314",36782.83134
"cg24429836",-5034.030085
"cg04120520",-34433.77968
"cg09319676",-233897.9433
"cg20433952",1833.297885
"cg02220125",16876.3412
"cg18181703",-40006.86116
"cg10701033",-50105.3497
"cg07529654",-1996.118084
"cg27145096",-94506.00556
"cg07573872",-36287.95884
"cg14528319",-36564.06022
"cg09845806",-14249.25178
"cg03706056",-2973.630988
