"pred.var","coef"
"cg14024780",0.003571246
"cg17949371",0.006529299
"cg04081324",0.002519893
"cg21526004",0.002985074
"cg04988673",0.003810443
"cg02479773",0.016238904
"cg03142458",0.009454436
"cg06869899",0.000949098
"cg11462016",0.01147644
"cg23111772",-0.012202871
"cg07125009",-0.007287801
"cg03899775",0.003047068
"cg03150220",-0.006457106
"cg14209005",-0.004418493
"cg09296611",7.92e-06
"cg16260977",-0.001507297
"cg25281171",-0.024613147
"cg07706715",9.06e-05
"cg06756169",0.001049819
"cg08991401",-0.001130861
"cg00120096",0.002479496
"cg18106434",0.017968973
"cg04650789",0.008657323
"cg01418124",0.01511825
"cg07823935",0.000571557
"cg07955995",0.002920699
"cg10981009",0.006887883
"cg00419186",-0.003226578
"cg15177855",0.003921241
"cg02634272",0.004092018
"cg00303982",0.005570823
"cg08749305",0.010930475
"cg19129842",-0.005145722
"cg08097417",0.005220926
"cg19583819",0.00050912
"cg22282410",0.006645524
"cg02973171",0.00351304
"cg13967811",0.018208369
"cg10699852",0.002233645
"cg10639411",-0.001945144
"cg05106770",-0.000227125
"cg00329615",-0.021519733
"cg21572722",0.014710929
"cg24497732",0.002680867
"cg06639320",0.000921173
"cg21544633",-0.003444018
"cg09809672",-0.0461885
"cg07553761",0.024506179
"cg16540789",-0.005998076
"cg23387401",-0.009529976
"cg01904886",-0.003977778
"cg19518666",-0.004363063
"cg27154651",-0.017949547
"cg14780466",0.0114705
"cg07149179",-0.020983902
"cg26279525",-0.001428755
"cg07568588",0.002136706
"cg22454769",0.014793029
"cg20535085",5.78e-06
"cg04970434",-0.006182403
"cg13319938",-0.013973128
"cg03639223",-0.010996472
"cg20133890",-0.002772175
"cg12111149",-0.000767548
"cg09514366",0.003083157
"cg00248713",-0.023772135
"cg16867657",0.073845561
"cg01502244",-0.004088046
"cg24387285",-0.008323454
"cg07926275",0.002089093
"cg05839709",-0.00779352
"cg01820962",-0.007793309
"cg06998361",-0.003501169
"cg01881688",0.005324743
"cg10501210",-0.003738491
"cg14844953",-0.004811765
"cg00929493",-0.010184107
"cg05173987",-0.00037198
"cg24805759",-0.024264115
"cg12128507",0.011486699
"cg17725472",-0.060116882
"cg14740789",-0.005154384
"cg07413480",-0.004535935
"cg18195228",-0.009818323
"cg06698332",0.002510651
"cg25045562",-0.001122077
"cg09095400",0.009009078
"cg04064735",-0.006262909
"cg14654795",-0.002795327
"cg21367783",-0.02027476
"cg23354307",-0.006554083
"cg19026621",-0.003327822
"cg19058734",0.006585198
"cg01959716",-0.002033254
"cg01883757",0.012413131
"cg18712083",-0.006688983
"cg18315983",-0.004490378
"cg27198997",0.002560526
"cg13685349",-0.002514944
"cg12445984",-0.044166701
"cg01666416",-0.006097929
"cg21278532",0.022945721
"cg06380449",-0.000726539
"cg15766982",-0.006690965
"cg01042637",0.000154566
"cg08446798",-0.012146095
"cg02383651",0.022418598
"cg27231912",-0.001560595
"cg23890910",-1.96e-05
"cg19182279",-0.001623947
"cg12924936",0.000247717
