"pred.var","coef"
"cg24983105",-0.00242084
"cg02951971",0.000519679
"cg15775835",0.016255443
"cg16028201",2.2e-05
"cg04025701",0.001271094
"cg23603528",-0.014976143
"cg07329135",-0.004826569
"cg22322863",-0.005340176
"cg04525508",0.008832714
"cg07027566",-0.011790211
"cg17927777",-0.005651692
"cg22790257",-0.000536926
"cg06220235",-0.010927117
"cg22025132",-0.012144926
"cg19980382",-0.018842923
"cg08740087",-0.025658506
"cg02808338",-0.011629024
"cg09908110",-0.0349479
"cg16969852",-0.011458051
"cg22978087",0.000359519
"cg24173411",-0.030380277
"cg20045492",0.009767831
"cg10150530",-0.019015999
"cg12529868",-0.00258729
"cg19809977",-0.006760098
"cg17124583",0.00524627
"cg19756929",0.0005179
"cg02422426",0.009676184
"cg15444978",-0.010980667
"cg10925082",-0.004046917
"cg12749636",0.00918507
"cg22135752",0.000223562
"cg10540759",-0.005386901
"cg18844382",0.016148051
"cg14338887",0.017734152
"cg14252519",0.025758148
"cg06192497",0.036546208
"cg08247450",0.008749324
"cg18722881",-0.006697918
"cg15711268",0.016539248
"cg26535072",-0.021078201
"cg14102128",0.007839367
"cg05111873",0.009765493
"cg18647259",0.006083459
"cg05346947",-0.002089628
"cg22466448",-0.000587514
"cg23483512",0.002194126
"cg08626932",0.001150761
"cg03356490",-0.020394314
"cg26989374",-0.008481054
"cg11269166",-0.006437834
"cg02028663",-0.003858319
"cg06270615",-0.013872495
"cg10691866",-0.003318651
"cg19695041",-0.000223887
"cg18224942",-0.020630139
"cg02878414",0.001827863
"cg14181724",-0.007564657
"cg11324953",-0.001995556
"cg01839492",0.007647434
"cg16091995",-0.006378079
"cg07903023",0.012157507
"cg15418322",0.008177159
"cg16519217",-0.00093464
"cg25422405",0.000992878
"cg25998745",-0.005903619
"cg21981144",-0.009502492
"cg26298599",-0.005918058
"cg07427772",0.014345555
"cg19583379",-0.005280701
"cg08622729",-0.006855984
"cg15763258",-0.000357659
"cg26020695",0.013596803
"cg13331011",-0.003253342
"cg21678736",-0.019164923
"cg17339927",0.000595688
"cg08611508",0.006227816
"cg03585734",7.13e-05
"cg02783838",-0.000732024
"cg10230257",-0.007097854
"cg05340438",0.002287547
"cg06554270",0.004387229
"cg27286957",0.002523542
"cg01563502",0.002125057
"cg13319417",0.017257249
"cg10533159",-0.01424385
"cg24582510",0.00358696
"cg22727783",0.011268315
"cg07891064",0.000783464
"cg16205846",-0.013764498
"cg03293765",0.001857132
"cg19389370",0.005472191
"cg01616085",0.004938731
"cg24738140",-0.009966272
"cg06164712",0.009082099
"cg26354221",0.005302269
"cg02851049",0.001600738
"cg21692182",0.003007594
"cg13937905",0.002533133
"cg14440794",0.018623642
"cg22348001",-0.014564293
"cg04142017",0.014008953
"cg08622675",-0.002613504
