"pred.var","coef"
"cg25124965",-0.010712146
"cg06629775",0.012668712
"cg14189245",0.000305505
"cg04979147",-0.008578067
"cg15956152",0.016236263
"cg03046746",0.002215527
"cg27504805",0.010198743
"cg05553000",-0.016245395
"cg02996314",0.0019205
"cg00462311",0.001430104
"cg26341661",-0.024080873
"cg01776246",-0.008760629
"cg19305293",-0.00717267
"cg01466678",-0.000621016
"cg05700129",0.012982151
"cg00973309",-0.009011454
"cg03336504",0.005579766
"cg23863410",-0.021452054
"cg26051750",-0.008468329
"cg03464232",0.007846879
"cg08406486",0.005751339
"cg16274476",0.006597634
"cg04424621",-0.019274276
"cg03699843",-0.000519868
"cg25450449",-0.009693349
"cg03725309",-0.010008805
"cg06946797",-0.000359151
"cg24531955",-0.016393185
"cg26946114",-0.01139682
"cg15732230",-0.009037329
"cg00782811",0.008710843
"cg00739217",-0.003329447
"cg09349128",-0.003794169
"cg22222413",-0.005798867
"cg22039357",-0.014344165
"cg19988426",-0.007247185
"cg02888990",0.015365528
"cg09884146",-0.013360563
"cg03992323",-0.003286126
"cg27386529",-0.008650337
"cg19850406",0.005981755
"cg07025011",0.00811298
"cg21850879",-6.1e-05
"cg18181703",-0.08825857
"cg12594244",-0.003585251
"cg26470501",-0.004387866
"cg07546943",0.009928528
"cg07676709",-0.00224312
"cg16565528",-0.009486446
"cg09823288",-0.007176788
"cg14476101",-0.037191677
"cg00156497",-0.000482889
"cg26361436",-0.005572665
"cg13966005",-0.013189646
"cg15362155",0.00023995
"cg05294455",0.003552017
"cg27576485",-0.008832766
"cg17501210",-0.001008243
"cg20389678",0.0044263
"cg07376381",0.010800616
"cg06854772",0.010950505
"cg18522655",-0.015310552
"cg23892439",-0.006827843
"cg12741441",0.002669252
"cg23842572",0.032058112
"cg17692971",0.003797411
"cg07573872",-0.010024179
"cg22693030",-0.005194364
"cg24531489",-0.001833045
"cg05393300",-0.003048223
"cg00092711",0.015328641
"cg21004104",0.000334939
"cg01827818",-0.002476776
"cg15342087",-0.025706866
"cg18256630",-0.000852716
"cg25682172",-0.001182862
"cg06248061",0.004153308
"cg12504163",-0.000104342
"cg21340316",-0.004101882
"cg08711320",-0.003015639
"cg18862215",-0.001478818
"cg12103720",-0.002461797
"cg02769951",-0.013212633
"cg20772593",0.002319232
"cg13947310",0.001116601
"cg08597205",0.005249705
"cg26945392",-0.000376155
"cg26631397",0.000399643
"cg17797797",0.019201091
"cg13157793",-0.0106339
"cg14985591",0.011570504
"cg01647917",0.001901409
"cg05158395",-0.001953526
"cg03446098",-0.014821089
"cg13723853",0.005513027
"cg20089935",0.011398233
"cg22603960",0.004657716
"cg25508605",0.014859997
"cg06288869",-0.026223637
"cg07207833",-0.010542183
