"pred.var","coef"
"cg22974158",-0.002346475
"cg19886448",-0.006355557
"cg18218257",-0.000378327
"cg15604051",-0.007259927
"cg26730763",0.019490441
"cg21799270",0.0012279
"cg17092523",0.028845198
"cg09775263",-0.013078503
"cg01569083",0.018039994
"cg07626482",0.004901342
"cg07260003",0.013133977
"cg14836555",0.016888863
"cg20970369",0.003586298
"cg24088496",0.022572846
"cg00517855",0.005871804
"cg03606774",0.018218051
"cg19843353",0.004249749
"cg23712594",0.002657577
"cg19495614",0.007438612
"cg21161138",0.041086603
"cg16708465",0.001086981
"cg11353706",0.000487006
"cg23151649",0.024573782
"cg26205698",0.001224022
"cg01554970",0.004020536
"cg13408955",0.015222227
"cg16504397",0.009578808
"cg23928339",0.001990819
"cg24870967",0.013205225
