"pred.var","coef"
"cg22713345",-0.001196846
"cg21644669",0.005445597
"cg04407470",0.041222879
"cg00157456",0.00479127
"cg20946056",0.014077853
"cg18996910",-0.010152076
"cg26979279",-0.018229971
"cg11735605",-0.001915398
"cg13170450",0.00316351
"cg24515202",0.021092249
"cg26273886",-0.002541003
"cg09129895",-0.006900967
"cg22864416",0.004839035
"cg02166313",0.00112622
"cg07928695",0.006128523
"cg25112611",0.00549635
"cg01340089",0.010601504
"cg16856981",-0.01208672
"cg19903957",0.010741137
"cg21730067",-0.006720239
"cg23441208",-0.010082475
"cg01957760",-0.001805581
"cg06894708",-0.003231616
"cg01364498",0.004284143
"cg26700215",0.020598338
"cg24523758",0.005223189
"cg13855472",0.005779631
"cg08015883",0.003572046
"cg22444610",-0.008112347
"cg03533123",0.023491307
"cg12232783",-0.008333057
"cg01261503",1.82e-06
"cg23719950",0.004524022
"cg23302682",0.003331408
"cg02492279",-0.020670535
"cg08352774",-0.006325987
"cg20100910",-0.002648974
"cg26395331",0.007795942
"cg20235658",0.035240522
"cg10568624",0.024027473
"cg18832897",-0.020290663
"cg21338852",0.001440737
"cg16411857",-0.020904689
"cg05391486",0.026513477
"cg13869942",0.007483367
"cg18563886",0.012428051
"cg04542977",-0.043667895
"cg10995755",0.002551153
"cg05529874",0.003651035
"cg03118604",-0.003889073
"cg14608903",0.012878462
"cg01416295",4.91e-05
"cg20464405",0.002251506
"cg22816294",-0.001424271
"cg01159601",0.001123573
"cg21604741",-0.003301037
"cg27132152",-0.000100336
"cg25309343",-0.035104844
"cg07839457",-0.070560294
"cg09063835",0.012882766
"cg06093152",-0.002693726
"cg07949217",-0.003803305
"cg15117739",-0.01468249
"cg04959790",-0.000932674
"cg18124517",-0.006099184
"cg23119026",-0.016640399
"cg19494591",-0.001737688
"cg08330950",-0.001882622
"cg07421287",-0.011232878
"cg20240347",0.000471905
"cg16820615",-0.000410496
"cg00424152",-0.000967499
"cg17010747",-0.001269872
"cg17502780",-0.004153845
"cg19206078",0.00094037
"cg02415661",0.005338758
"cg24556382",0.003467831
"cg17436370",-0.003496386
"cg19743791",0.030579628
"cg11520395",-0.001387716
"cg10687217",-0.003131498
"cg19643467",0.010144559
"cg27043873",-0.002264272
"cg27178772",0.022154618
"cg20220196",-0.001917266
"cg18236982",0.001517432
"cg15626285",-0.03369689
"cg26619193",-0.017947213
"cg08346127",-0.015816478
"cg26821542",-0.000679698
"cg12387865",0.006606343
"cg18095041",-0.006956216
"cg16455401",0.004366612
"cg26330304",0.002136583
"cg16529993",-0.017010423
"cg09354331",-0.003068392
"cg08409335",-0.010746317
"cg11672390",0.00906611
"cg07206256",0.013684277
"cg24185429",-0.014846908
"cg06544239",-0.000626477
"cg05952672",0.01770326
"cg12961889",0.013250185
"cg10628015",-0.007535096
"cg23653443",-0.00157728
"cg25036261",-0.001174441
"cg04604532",0.001965802
"cg00173804",0.008157762
"cg17731065",0.007981621
"cg19461260",0.011028691
"cg20092296",-9.12e-05
"cg12741407",-5.93e-05
"cg17081160",0.001369619
"cg22759624",-0.002238743
"cg24582510",0.009310229
"cg13721534",-0.000973911
"cg11250692",-0.014163077
"cg08782356",-0.004110224
"cg00933788",-0.014132851
"cg16411445",0.003580123
"cg02016065",-0.001868013
"cg17458631",-0.008674177
"cg09501333",-0.000987465
"cg18179997",-0.005048346
"cg23871697",0.020926373
"cg18286323",0.006018662
"cg18789786",-0.001827342
