"pred.var","coef","target"
"cg15699874",0.002294562,"MRC2"
"cg09662754",-0.006316542,"MRC2"
"cg17130457",0.005405354,"MRC2"
"cg27407935",0.002868662,"MRC2"
"cg10636246",0.008629453,"MRC2"
"cg17593625",0.018738531,"MRC2"
"cg01150799",-0.014091938,"MRC2"
"cg23189692",0.006886846,"MRC2"
"cg26450228",0.006040444,"MRC2"
"cg23344523",0.021033406,"MRC2"
"cg25939371",0.002736295,"MRC2"
"cg03268697",0.003124386,"MRC2"
"cg01965673",-0.01044002,"MRC2"
"cg12992827",0.005277514,"MRC2"
"cg01176329",0.011384412,"MRC2"
"cg01311537",0.010124699,"MRC2"
"cg09750400",0.008995461,"MRC2"
