"pred.var","coef"
"cg17193369",0.001780992
"cg00645897",-0.013468561
"cg15775835",0.017249689
"cg03844701",0.016476556
"cg19979405",-0.009676981
"cg09564020",-0.004333962
"cg01252224",0.011766909
"cg17006436",-0.006604016
"cg00059424",-0.001596608
"cg02429622",0.017985917
"cg26320601",-0.012608269
"cg27291080",0.004446327
"cg19674138",-0.008370342
"cg24675094",0.016722838
"cg15319206",0.004485493
"cg00563238",-0.011119776
"cg09697880",-0.002004448
"cg05308617",0.007890781
"cg15420141",-0.004173872
"cg01620569",0.025568798
"cg00265490",-0.009977947
"cg11488514",0.003061436
"cg18747378",0.002615682
"cg09368075",0.013131216
"cg09852079",-0.002557221
"cg24016844",-0.002083303
"cg00942551",0.031770905
"cg02064267",-0.002946515
"cg11993230",-0.002732645
"cg16050784",-0.006649597
"cg12239264",0.000844219
"cg23430644",-0.012550404
"cg00574958",0.003035341
"cg13680696",-0.005409666
"cg06473276",-0.001564683
"cg20457275",-0.007489851
"cg11430077",0.002650803
"cg06225979",0.033631504
"cg14826404",-0.008176594
"cg01156550",0.002811987
"cg22988146",0.003295622
"cg12614789",0.003880707
"cg20472707",-0.005279408
"cg20589883",-0.002843567
"cg03725309",0.014237478
"cg14423692",-0.000506834
"cg24645670",0.004200365
"cg02291365",-0.00744997
"cg18321051",-0.004998134
"cg12813768",0.020218481
"cg14176626",0.008772266
"cg25988214",-0.007298433
"cg10636246",0.005245252
"cg16243243",0.006101003
"cg04677158",-0.003883126
"cg05438378",0.01621204
"cg05540716",-0.007773655
"cg01345136",-0.001475876
"cg01243823",0.000812291
"cg15020801",-0.003904023
"cg24366314",0.048973228
"cg19544707",0.0198179
"cg07504977",-0.026513317
"cg17378803",0.000746641
"cg12009803",0.002204469
"cg17279365",-0.008857087
"cg17590003",0.020285397
"cg12383650",0.010411885
"cg03405128",0.018415349
"cg26908356",-0.020463937
"cg03070262",0.006264113
"cg00310412",0.000896146
"cg02527881",0.002481746
"cg19637821",-9.01e-05
"cg14861097",-0.00525278
"cg04221461",-0.011203953
"cg01861377",0.010254385
"cg20432211",0.005088512
"cg17237086",-1e-05
"cg13620317",0.011262259
"cg07628841",0.015709119
"cg17110052",-0.003381181
"cg04720592",0.021310092
"cg23510258",-0.013255915
"cg06819357",-0.006980763
"cg21929183",0.007275604
"cg21566642",0.040518863
"cg03636183",0.008302108
"cg08305696",-0.016263791
"cg20279254",0.001200049
"cg17740752",0.006703379
"cg24626752",0.013079691
"cg24057514",0.017571248
"cg17915189",0.004824918
"cg21161138",0.005016988
"cg20014412",-0.012130644
"cg00957901",-0.011236944
"cg02611934",0.006136039
"cg05439665",-0.020414386
"cg02729383",0.005155657
"cg17501210",0.044431368
"cg09603824",-0.0117265
"cg16686279",0.000962702
"cg09353251",0.007775512
"cg21350153",-0.006880579
"cg26280727",0.003471446
"cg05052463",-0.015460337
"cg07021906",-0.001231427
"cg12729894",0.01908553
"cg07016094",-0.020198643
"cg19518426",0.004664315
"cg27186851",-0.001890025
"cg02504211",-0.039550459
"cg03035538",0.017669854
"cg03908688",0.019128262
"cg25146879",-0.003267559
"cg26145873",0.009306153
"cg09013655",-0.002320667
"cg03729603",-0.003247613
"cg13029400",0.011937949
"cg24760023",0.008327283
"cg21559452",0.003105142
"cg21913886",0.00638982
"cg05207068",0.007525948
"cg15033140",0.010470632
"cg06254356",-0.00361476
"cg10882886",-0.06554633
"cg18055557",0.003445752
"cg02520020",-0.000479228
"cg23140839",-0.013071324
"cg23354260",0.006600321
"cg17923565",0.006722538
"cg14187266",0.034329907
"cg10955566",-0.008204806
"cg05575921",0.086097605
"cg04955683",0.002752474
"cg06222206",0.022022912
"cg25010805",-0.061215524
"cg12830694",0.012318175
"cg04680494",-0.004097031
"cg10095801",-0.003332825
"cg01192112",-0.002947254
"cg07812289",-0.008905562
"cg20134357",0.010859992
"cg00033551",-0.001458754
"cg17537307",0.007018308
"cg09751071",-0.007738143
"cg21230387",-0.002476716
"cg12891476",-0.013658067
"cg24435704",0.010173977
"cg06963711",-0.001308219
"cg10356544",0.007184183
"cg23719534",0.026007001
"cg26102082",-0.011808716
"cg22143209",0.008013346
"cg24902250",0.003354436
"cg23017261",0.003329541
"cg25508605",-0.003447767
"cg18594482",-0.001795486
"cg00418913",0.000176579
"cg14216068",-0.010186838
