"pred.var","coef"
"cg26439641",0.009910292
"cg21080253",0.014444843
"cg24494412",0.003123993
"cg03522032",0.053021655
"cg01392338",0.000240633
"cg18825258",0.015329613
"cg08105748",-0.0086157
"cg02796773",0.018916204
"cg04875709",0.029944487
"cg21607669",0.022420936
"cg00012386",0.037803802
"cg08881680",0.001785997
"cg16166160",0.002479506
"cg16662877",0.021110281
"cg12539796",0.009163233
"cg08376992",0.012925523
"cg23073439",0.01368834
"cg03628719",-0.006488452
"cg08870743",0.007577316
"cg01789150",0.002177531
"cg11408986",0.00261209
"cg00863306",-0.003541689
"cg07924380",-0.009056219
"cg27092857",0.027467285
"cg23572908",-0.01381707
"cg17243289",0.004093296
"cg09275956",0.008879618
"cg21431690",0.004416414
"cg02022808",0.002959722
"cg24795274",0.001622235
"cg15932284",0.002198067
"cg11826008",0.013087646
"cg07336751",-0.001548801
"cg00663946",-0.008758577
"cg09507934",0.022034216
"cg06015525",0.024980064
"cg13753435",-0.001181127
"cg18855195",-0.008025618
"cg13823169",-0.023831011
"cg07839457",-0.05739915
"cg00563932",-0.00667168
"cg27209729",-0.004590657
"cg13410764",-0.011589367
"cg05308819",-0.005095213
"cg25347941",-0.004358808
"cg06500161",0.007207205
"cg18062721",0.003312044
"cg19615017",0.003316705
"cg20536364",-0.013495643
"cg15829642",0.015975259
"cg12108651",0.007808106
"cg12279734",-0.005938513
"cg17501210",-0.019757592
"cg16867657",0.042208455
"cg08362785",0.00252167
"cg08770647",-0.010036054
"cg21238197",0.004573218
"cg00259097",0.025588718
"cg21232015",0.00679284
"cg21792399",-0.00199957
"cg14748746",0.00105872
"cg17850055",0.00784837
"cg25587431",-0.00800234
"cg08469255",0.003862212
"cg08729908",-0.008598294
"cg00328720",-0.002948817
"cg00426089",0.006107293
"cg07570181",-0.001865726
"cg07296855",-0.010738388
"cg25265126",0.009311058
"cg17540192",-0.007894722
"cg03609024",-0.007307336
"cg22674789",-0.005995778
"cg22922761",-0.026160776
"cg08062713",0.000772837
"cg22530691",-0.00989127
"cg05608511",-0.00238436
"cg01702520",-0.010130676
"cg06419212",0.007223408
"cg24167667",0.000609085
"cg19564264",-0.043476618
"cg07996594",0.028842903
"cg22934785",-0.04095409
