"pred.var","coef"
"cg17109461",0.006965413
"cg05801338",0.015017552
"cg22359217",0.002832197
"cg04199396",0.004806472
"cg03697316",0.000930431
"cg09493652",0.01945356
"cg14997715",0.008148906
"cg24248978",0.001270777
"cg23994692",-0.001481
"cg13731504",0.004639356
"cg14324693",-0.000135099
"cg07003673",0.022330564
"cg06491924",0.015629028
"cg19267259",0.002466518
"cg01244871",0.006347399
"cg07058528",-0.005175589
"cg13677424",0.002705547
"cg12611723",0.010660406
"cg06387204",-0.005311468
"cg08770506",-0.004391279
"cg25470077",0.007008717
"cg06641299",-0.00504682
"cg19305293",-0.012375408
"cg16169375",0.01202419
"cg27395666",0.002001144
"cg13338207",0.012986179
"cg03303162",-0.000536595
"cg21177096",0.00308666
"cg14497847",-0.004047836
"cg01996497",-0.001465959
"cg10367743",0.00371815
"cg25770698",-0.024665933
"cg16007772",-0.009964161
"cg09163442",0.000667536
"cg20050012",0.010504373
"cg03476860",0.004923009
"cg06134546",0.001877003
"cg11467638",-0.004144318
"cg01282418",-0.003517471
"cg09678615",0.001126629
"cg23743627",0.011743079
"cg11081703",0.007356841
"cg09306584",0.014481705
"cg08278008",0.000708106
"cg15432367",0.011502002
"cg20611680",0.008128969
"cg07537417",0.010347413
"cg07339236",-0.043214095
"cg00695799",-0.021906651
"cg02619408",0.003053322
"cg03725309",-0.023609857
"cg13279811",-0.025414747
"cg12596273",0.008517361
"cg18468088",0.010961193
"cg02328239",0.007526045
"cg18575809",-0.002347602
"cg21669326",-0.01229564
"cg24369728",-0.019423996
"cg16989117",-0.020862934
"cg26257814",0.056598681
"cg16900796",-0.000649907
"cg01588826",0.001971454
"cg23760687",-0.002727665
"cg05696969",-0.017735643
"cg02716826",-0.02445685
"cg18975156",0.005402986
"cg22910295",0.013375457
"cg07025011",0.019232178
"cg18181703",-0.002539267
"cg01181681",0.00191409
"cg03309393",-0.016580456
"cg05119988",-0.016196336
"cg20595453",-0.018697828
"cg20353001",0.014313118
"cg10766585",0.014206237
"cg23237276",0.01849684
"cg27086690",0.003692513
"cg16469223",0.022541663
"cg12441038",0.0005495
"cg02539798",0.000766797
"cg16867657",0.028011632
"cg17642041",0.011587375
"cg23291126",0.000668654
"cg01976303",0.009982975
"cg12458003",0.004004072
"cg01790628",0.005476177
"cg04339462",0.001779705
"cg00631759",-0.028834122
"cg15756055",0.006658592
"cg00420347",0.014429998
"cg23752651",0.000502419
"cg19587968",-0.016350968
"cg26825341",-0.002046843
"cg10888811",-0.00308244
"cg03770703",-0.004443686
"cg19845127",-0.012426259
"cg10087081",-0.013421868
"cg24135615",0.023789841
"cg25636068",-0.016000391
"cg09497752",0.001361744
"cg18790559",-0.000685877
"cg14285881",0.007190514
"cg10987774",-0.000539622
"cg06844936",0.008982792
"cg17257720",-0.006323782
"cg09322003",-0.02083625
"cg19319067",0.01144651
"cg00712289",-0.017072286
"cg08823186",-0.015289239
"cg01206728",0.017515892
"cg06771275",-0.005528723
"cg03447327",0.011517772
"cg12621546",0.000133538
"cg02538976",-0.006950214
"cg11733430",0.003619185
"cg05192145",0.003737543
"cg07207833",-0.00679865
