"pred.var","coef"
"cg13509954",0.00282853
"cg23288653",0.002104954
"cg13694471",0.003992579
"cg10157975",0.011797544
"cg25444231",0.000988269
"cg17284070",0.00309623
"cg08962682",0.004671521
"cg26954499",0.001237104
"cg09453752",0.00909836
"cg11356705",-0.011500683
"cg23715682",0.003712777
"cg07494248",-0.006108443
"cg18959748",-0.009679228
"cg14719990",-0.004978545
"cg11640063",0.017010359
"cg02236651",-0.008350363
"cg24342002",-0.01216582
"cg04334947",-0.002854674
"cg11789639",0.003312946
"cg13013671",0.003294577
"cg02311534",0.00860829
"cg02301929",-0.019499998
"cg27020573",-0.001960884
"cg18126791",-0.016977392
"cg04733826",0.005420631
"cg21731578",0.002569532
"cg04194494",-0.008859685
"cg15934248",0.028059696
"cg06725829",0.01409877
"cg00487737",0.028418175
"cg10727654",0.018578081
"cg00397324",0.030127446
"cg24158546",0.023216343
"cg25894045",0.007891768
"cg09119797",0.01304861
"cg21968591",-0.018882598
"cg04562739",-0.024047755
"cg01906430",-0.000219831
"cg03763387",0.005976189
"cg23339899",0.011634588
"cg14446015",-0.00260685
"cg08438425",-0.004944572
"cg08646372",0.001678328
"cg24495844",0.009055375
"cg00181054",0.010178145
"cg07802917",0.009873279
"cg23938496",-0.00271532
"cg17026456",0.003932996
"cg15451100",-0.005560101
"cg25969212",0.002136119
"cg04141250",0.019243673
"cg08339023",0.008280898
"cg11206840",0.003610274
"cg22685369",0.014518323
"cg12784848",0.003771773
"cg23437742",-0.004068497
"cg10325600",-0.004236454
"cg17316185",0.002987227
"cg14248370",-0.016014798
"cg19542359",0.003569971
"cg08220519",-0.008886689
"cg13558971",-0.028491005
"cg00606662",0.005886919
"cg00462311",0.00011125
"cg23809118",-0.00302212
"cg27164753",0.004885402
"cg10423428",-0.016993329
"cg05933803",0.050002557
"cg14711243",0.008790463
"cg05276243",-0.00383122
"cg27294431",-0.001749376
"cg02022494",-0.01674945
"cg08122338",-0.004889214
"cg01399264",0.006245078
"cg22318989",-0.008814983
"cg02833116",0.000956064
"cg12214665",0.001582936
"cg16676472",-0.003085938
"cg10683793",0.003526342
"cg25804718",0.018059908
"cg12816961",0.00213899
"cg13534734",0.001408126
"cg05873889",-0.015376148
"cg01926051",1.27e-05
"cg07390647",0.026299302
"cg26802025",0.002000137
"cg05897091",0.003842597
"cg09161412",-0.000218605
"cg27388777",-0.002484873
"cg01543300",-0.015713803
"cg12388583",-0.000881635
"cg15175514",-0.004728186
"cg09762252",0.013534722
"cg22646324",0.003088126
"cg19856499",0.000230622
"cg19001226",0.004952659
"cg02107879",-0.010940277
"cg10140190",0.005263917
"cg16623656",-0.005568308
"cg19802865",0.009947196
"cg14071579",0.011085735
"cg25468632",0.001139292
"cg07350470",0.017137766
"cg07625194",0.000832906
"cg25821794",-0.006519735
"cg00152577",0.001145145
"cg12868067",0.001455093
"cg25371950",0.000615495
"cg09219171",-0.008360369
"cg17263892",-0.008381889
"cg22388982",-0.014635594
"cg10203375",0.003286171
"cg16788099",-0.005507623
"cg09110148",-0.008072269
"cg09090941",-0.006981485
"cg07589342",0.001486297
"cg24099813",-0.0009185
"cg17009842",-0.011943614
"cg00924017",-0.004523997
"cg14195122",-0.001450957
"cg08825022",-0.014024261
"cg12127472",0.005608014
"cg13552867",0.012390015
"cg09599130",-0.002320638
"cg10546817",-0.001652201
"cg14854901",-0.004527634
"cg25200152",-0.006766794
"cg09975850",-0.008376233
