"pred.var","coef"
"cg14703610",0.008008223
"cg14526939",0.002872664
"cg26483578",-0.003553854
"cg09043153",-0.00059939
"cg23385388",-0.002906837
"cg22104478",0.001090504
"cg00134210",0.010472151
"cg20235337",-0.00993572
"cg01988891",0.004729318
"cg21329599",-0.003651459
"cg16729160",0.002732898
"cg26544594",-0.00571227
"cg22011731",-0.001639489
"cg11073558",-0.013995377
"cg21393163",0.023406354
"cg05981038",-0.000369967
"cg16557204",0.001869306
"cg04630292",-0.020794469
"cg02867102",0.004529877
"cg09701702",-0.022744282
"cg06942649",0.007951386
"cg12686441",0.003408426
"cg07502389",-0.020857789
"cg15522171",-0.001575238
"cg25988321",-0.002340329
"cg13743231",0.004770768
"cg18458509",0.002693298
"cg02711608",0.005478057
"cg08872353",-0.000697273
"cg02858402",-0.019511973
"cg05438378",0.061277693
"cg26187205",0.002603465
"cg01005080",0.001772514
"cg01719405",0.006667556
"cg01411366",0.008546325
"cg15150970",-0.000953413
"cg08173263",-0.067584637
"cg15044270",0.004782048
"cg26825412",0.002366313
"cg20507228",-0.026903107
"cg00973876",0.024891302
"cg05374025",0.001657334
"cg13707224",0.004432234
"cg07839457",-0.012800563
"cg21325715",0.023508601
"cg01109535",0.002638887
"cg09502149",0.006000972
"cg26336935",0.002693095
"cg01119072",-0.013571681
"cg06500161",-0.02566155
"cg25352592",-0.001391646
"cg06688763",-0.013934949
"cg09117405",0.011845192
"cg09072576",0.000778515
"cg10752676",0.006633424
"cg22454769",-0.006749728
"cg13126206",0.007436582
"cg01149053",-0.004316222
"cg16313758",0.007293765
"cg21721340",0.01054424
"cg19784428",0.006909281
"cg26687842",-0.033122853
"cg16983541",0.006397628
"cg16894819",0.001141137
"cg25818583",0.014799546
"cg10566581",-0.02846997
"cg17389813",0.004072717
"cg22304262",0.010971813
"cg06681845",0.016736545
"cg17800497",-0.013353828
"cg22397926",-0.004929052
"cg25120405",0.014120429
"cg09027725",0.0037582
"cg26266274",0.002900166
"cg00227665",-0.002339537
"cg14609236",-0.003682216
"cg16288101",0.008663584
"cg03462943",-0.004169466
"cg05106191",-0.02923546
"cg06690548",0.030415383
"cg22055337",-0.000611461
"cg17385414",0.003557679
"cg19565714",0.009153041
"cg07037509",0.005522119
"cg05996538",0.009841124
"cg20860726",-0.000707232
"cg17830167",0.002011276
"cg14896458",0.011159806
"cg12207367",0.00025236
"cg24184737",0.012532892
"cg23112821",0.041546387
"cg00137918",-0.024475275
"cg09668951",0.011573785
"cg11705954",0.007671458
"cg08855903",-0.005816953
"cg11414610",-0.000447943
"cg17169015",0.003149664
"cg24532476",-0.004728876
"cg21154964",-0.006641153
