"pred.var","coef"
"intercept",1091528.48443649
"Age",2589.66760535677
"cg00695391",-15088.6602055324
"cg16305333",36553.1189654623
"cg00970752",-14194.4018625678
"cg04967775",177517.658896004
"cg06901711",2264.05796134309
"cg01431830",-3639.99391144687
"cg10578779",146477.489902289
"cg26359730",11819.2111499682
"cg10585941",438.572917601977
"cg01939962",-35147.8498846653
"cg06809285",-146515.600206272
"cg11336382",3482.8417675804
"cg09920725",46536.508038271
"cg24000528",-19400.6569012676
"cg13772414",5430.86109628761
"cg08007899",-2332.13200435533
"cg15808795",28774.9474246897
"cg24110177",37130.917365514
"cg10753966",4642.5301815228
"cg00481951",2118.04542674843
"cg04748223",8312.26953947263
"cg22518157",1070.03236335069
"cg22714094",53286.460341207
"cg10177080",6551.35170700327
"cg15845365",1233.95034950604
"cg27628536",-2420.19455797505
"cg24765579",3439.35552740404
"cg15988937",13203.8332028703
"cg02081065",35212.9697818061
"cg12612118",16375.7874337517
"cg12298697",-14671.032101636
"cg20660989",29314.7509895261
"cg03546163",-26269.3794561028
"cg25325512",-17344.6681304508
"cg00684824",14641.4643238439
"cg02713068",18575.3703112607
"cg06649410",151820.943296627
"cg17501210",-71334.6683946857
"cg03807873",-42833.455177419
"cg21899558",-6957.30047218442
"cg07025011",37473.74980075
"cg16847637",37585.6338462947
"cg06563451",204677.848868231
"cg02716826",-32003.6576554884
"cg08410533",-9247.89128946357
"cg04196119",6184.11902637854
"cg12329405",386984.355656232
"cg12379046",66943.1320191626
"cg03950121",96821.9239848508
"cg03096347",-26683.0421147344
"cg22620356",2091.25008534247
"cg17310258",10424.1906056575
"cg18886347",-4014.40511230201
"cg14592365",43339.3968121301
"cg07631435",44387.2291461146
"cg03112631",-34293.1327545183
"cg01635346",25375.20402616
"cg25966649",4570.67835314875
"cg23510415",-141.201967149777
"cg18159533",-416292.988441312
"cg16982073",17051.7803599408
"cg25572904",7590.84052392849
"cg02150207",144468.248244152
"cg13649020",-17000.9565321777
"cg06903325",34035.5405474505
"cg05078817",8753.60081189771
"cg13898384",66947.972129418
"cg13634681",-71094.1947720312
"cg01624571",-109593.176195574
"cg14153919",17498.9617151649
"cg05575505",-50734.1439766346
"cg19987111",-63923.6539594595
"cg05638439",-8688.35761244069
"cg26470314",36782.8313377302
"cg24429836",-5034.03008515542
"cg04120520",-34433.7796843526
"cg09319676",-233897.943312838
"cg20433952",1833.29788489698
"cg02220125",16876.3412041466
"cg18181703",-40006.8611602381
"cg10701033",-50105.349704175
"cg07529654",-1996.11808360425
"cg27145096",-94506.0055606424
"cg07573872",-36287.9588403653
"cg14528319",-36564.0602221945
"cg09845806",-14249.2517798542
"cg03706056",-2973.63098848083
