"pred.var","coef"
"cg20116670",0.001864058
"cg17283383",-0.005697772
"cg05083393",-0.016602387
"cg14331882",0.010331653
"cg07570573",-0.018979327
"cg04349311",0.008485453
"cg02674662",0.000179689
"cg11666924",6.29e-05
"cg12266551",0.00534405
"cg13875536",-0.017892798
"cg18340446",-0.002461619
"cg15072735",0.023930529
"cg26875626",-0.006418152
"cg13868347",-0.004845714
"cg02194789",0.01092917
"cg24126844",0.000676885
"cg00248638",0.003180591
"cg16860991",-0.008147883
"cg12224394",-0.001827096
"cg17720157",0.000547961
"cg22306928",-0.002900463
"cg02471512",-0.000555486
"cg03011500",0.002279742
"cg00021945",0.008007886
"cg12143168",0.001915811
"cg26378403",0.001529626
"cg09930496",0.005556388
"cg09649495",-0.003435566
"cg12532563",-0.004681593
"cg06765514",-0.015492236
"cg27550721",-0.006350676
"cg11794625",0.007727548
"cg16850687",-0.00036513
"cg13682044",0.012698438
"cg00259966",-0.004543134
"cg01957088",-0.00217477
"cg05249479",0.003227563
"cg03608342",-0.001416955
"cg08189615",0.00504246
"cg26629969",0.01098244
"cg13927782",0.003405265
"cg09619347",-0.007078359
"cg20369775",-0.008251385
"cg11983576",0.014443547
"cg08566437",0.005406463
"cg06382526",0.004261542
"cg21535980",0.003644291
"cg21126487",0.005062623
"cg19638749",0.01753678
"cg13207326",-0.008211497
"cg11674355",-0.00627762
"cg07493858",0.003944216
"cg16269733",0.000329777
"cg23041295",-0.003167966
"cg14285533",-0.001356825
"cg24083367",0.012615217
"cg03991297",0.002176046
"cg03014934",0.00320829
"cg00652772",0.024477135
"cg15325961",0.004082654
"cg23255963",0.005152221
"cg09106231",0.007985081
"cg18417954",-0.002946603
"cg04487479",0.007875981
"cg17022232",0.004016781
"cg18481241",-0.021298529
"cg22953960",0.00195017
"cg05644480",0.027142474
"cg16736630",-0.00365866
"cg01601712",-0.004676677
"cg20703671",0.000807367
"cg21126707",0.007570094
"cg00501622",0.008063494
"cg12921411",0.024577239
"cg21434376",-0.000372937
"cg20228731",0.003692843
"cg14476101",0.039364766
"cg15190383",-0.012607645
"cg12980201",-0.000286569
"cg13775636",-0.003771075
"cg08076102",-0.009900597
"cg20518446",0.020020529
"cg21205855",0.000898021
"cg18141902",0.010083761
"cg11770664",0.025760391
"cg23144445",0.009768379
"cg17351862",0.016259394
"cg23159165",0.012596736
"cg20776947",0.009381296
"cg10776533",0.004494701
"cg18709904",-0.007064615
"cg17662083",0.017865023
"cg17501210",0.014107051
"cg00555393",-0.004018938
"cg19270409",-0.002883931
"cg08219219",0.005822296
"cg12880095",-0.003091326
"cg02638348",0.011789982
"cg24940370",-0.002149908
"cg05075545",0.001995806
"cg20648501",-6.25e-05
"cg04369957",-0.005310448
"cg19731612",0.012585168
"cg05943860",0.008666421
"cg21919900",0.001828056
"cg18861762",0.02243363
"cg18671037",-0.004680526
"cg08202165",0.006619871
"cg14341014",-0.00660619
"cg21592463",-0.001849641
"cg00953399",0.005885747
"cg07678010",-0.020311313
"cg27617775",0.004762164
"cg09459714",0.005629518
"cg05365320",0.006538687
"cg04486648",-0.002719256
"cg27179353",0.001321333
"cg11411838",-0.017390015
"cg00861380",-0.000675784
"cg09527769",-0.002830663
"cg17960426",0.014725212
"cg13807578",-0.014543932
"cg19893750",-0.015396323
"cg10725912",-0.003315785
"cg26332552",-0.017832065
"cg09625781",-0.001940537
"cg04194066",-0.042750132
"cg19958024",0.009293649
"cg22736956",0.006561158
"cg15980798",-0.001786874
"cg22445992",0.01217581
"cg27110206",0.001178482
"cg11649221",0.015188094
"cg26655772",-0.016117091
"cg14571682",-0.004712024
"cg08863693",-0.026396914
"cg12629689",-0.004215418
"cg05064567",-0.001606877
"cg05001344",0.026376379
"cg10683435",-0.002502947
"cg01612247",0.006820523
"cg26934683",-0.001277344
"cg21700831",-0.006003812
"cg11095839",0.011543507
"cg16286055",0.001108402
"cg07184142",-0.010395103
"cg22503047",0.021030326
"cg19888684",0.015632282
"cg07464977",-0.005058133
"cg11097902",-0.051511628
"cg02531548",0.012517182
"cg09198031",0.003031818
"cg18257996",0.001415346
"cg12236761",-0.00236657
"cg09515665",0.00326488
"cg26929272",0.010088057
"cg19373545",0.003466635
"cg20952452",0.000676894
"cg11330469",0.003521462
"cg15148028",0.00223643
"cg03476525",-0.008685393
"cg09745638",0.028328262
"cg05652090",0.000697064
