"pred.var","coef"
"intercept",15844.59555
"Age",127.2379853
"cg19414383",576.6142311
"cg25536676",-161.490705
"cg22820188",-186.5166819
"cg10753966",571.637581
"cg23944298",174.8160683
"cg07553761",23.66378467
"cg10202557",-228.5543359
"cg05604079",58.98030694
"cg11444009",469.2567614
"cg25149516",723.0939922
"cg18584747",1335.650216
"cg20405584",542.5457294
"cg11299854",2160.827782
"cg24708145",922.7973925
"cg25663874",7743.751677
"cg25325512",-1151.797957
"cg13001142",-43.27967955
"cg06649410",407.7512052
"cg17501210",-5735.692661
"cg03473532",-11.8330452
"cg20468415",-665.9699727
"cg11782409",340.971911
"cg07205627",207.7299513
"cg08410533",-32.84348842
"cg12483947",-1965.675897
"cg23371436",253.1682225
"cg24894584",23.78565825
"cg26266429",3192.898586
"cg10068417",67.02117171
"cg25572904",125.863457
"cg13543355",527.9033178
"cg26481784",11323.96974
"cg13898384",5311.461806
"cg19459791",241.5556372
"cg03172657",353.6160462
"cg18181703",-790.0466715
"cg07573872",-1936.494147
"cg09051966",225.1163847
"cg25841091",956.4101748
"cg12516875",-1148.067249
"cg07274490",1462.171143
"cg07929447",121.8378099
