"pred.var","coef"
"cg16813053",-0.015943921
"cg04614997",0.003052101
"cg27527593",0.009290922
"cg07420163",0.003128071
"cg08115430",0.00752987
"cg27186774",0.027731595
"cg21422770",0.014825383
"cg09649610",0.016217231
"cg18338311",0.002345548
"cg05219445",0.009600428
"cg13916298",0.012928129
"cg27036111",0.029315723
"cg17444090",0.022338442
"cg06502279",0.013952563
"cg08684580",0.011184519
"cg24897320",0.015807812
"cg21463262",-0.005243211
"cg19716090",0.010584122
"cg26099045",-0.01078388
"cg07936672",0.011718798
"cg09777883",0.002017361
"cg06732873",-0.001306264
"cg01725872",0.003344858
"cg18468572",-0.002576059
"cg05673287",-0.002841143
"cg01588250",-0.015252251
"cg00977903",-0.024796814
"cg02119577",0.003712411
"cg21814995",-0.011457327
"cg17459092",-0.002804848
"cg24442435",-0.000741174
"cg17470198",-0.013758706
