"pred.var","coef"
"cg07128245",0.011127112
"cg01329005",-0.007500054
"cg01881899",0.000796088
"cg16363586",-0.001863018
"cg08280936",0.018889321
"cg20472746",0.017985588
"cg01102307",-0.002301752
"cg15551881",0.001049915
"cg09973676",0.002103504
"cg23059461",0.005187564
"cg26312951",-0.025211434
"cg13619408",0.004466023
"cg07839457",-0.043480752
"cg24707889",0.008798109
"cg18086243",-0.026680568
"cg00218406",-8.29e-05
"cg22862003",-0.001712245
"cg02814054",0.017806062
"cg05696877",-0.065625726
"cg22930808",-0.011556171
"cg21549285",-0.0203061
"cg05341232",0.004038071
"cg20491726",-0.007325741
"cg00625963",0.003648501
"cg26338202",-0.004318406
"cg26325791",0.028080624
"cg05352016",0.002068819
"cg11389011",0.021700045
