"pred.var","coef"
"cg03261004",0.043137105
"cg07921092",0.017240259
"cg03604067",0.002443602
"cg03958208",0.009061455
"cg25419914",0.027745752
"cg23235772",0.038861901
"cg17162132",0.019083637
"cg04871835",0.000400698
"cg12595647",0.000655471
"cg20087917",0.002336419
"cg18375586",0.000732469
"cg20032809",0.00937835
"cg03506979",0.018379897
"cg01666244",-0.004407853
"cg05265988",-0.014367361
"cg23517607",0.00584041
"cg12203636",0.012227633
"cg18765678",0.00329423
"cg02298956",0.001660809
"cg00032756",0.033517651
"cg24398061",0.025786878
"cg18464137",0.021753227
"cg18451114",0.00036837
"cg13184736",0.004187509
"cg14973055",-0.023855353
"cg18847227",-0.005234216
"cg15815084",0.004972543
"cg06359132",-0.001259102
"cg23576855",0.008742863
"cg14295611",-0.013228655
"cg00993308",-0.016676071
"cg11304968",-0.004094317
"cg02997497",0.003449371
"cg02474076",-0.010551201
"cg19864370",-0.00176373
"cg11945276",-0.002668376
"cg13396134",-0.032619983
"cg25108052",-0.013608166
"cg00209612",-0.005095212
"cg04675040",-0.003771013
"cg07890065",-0.004979805
"cg16792044",-0.005001199
"cg05575921",0.157879552
"cg24711324",-0.01233349
"cg04664643",-0.009513133
"cg02773192",-0.006042956
"cg07960461",-0.006276651
"cg10328290",-0.072511001
"cg25578967",0.001839102
"cg06932776",-0.004160535
"cg21022949",0.005597696
