"pred.var","coef"
"intercept",1975.79838
"Age",9.351357157
"cg21789941",84.36457505
"cg22866430",143.6960622
"cg18234973",81.37864606
"cg26110733",29.04010303
"cg10636246",-112.4944727
"cg10578779",11.24372697
"cg17591574",-118.3835515
"cg13371627",-1980.760733
"cg12458003",12.09048304
"cg13180152",381.6829167
"cg21459583",20.09428673
"cg18278247",79.33227506
"cg06022832",93.16657364
"cg21566642",-42.04895614
"cg01940273",-56.21128291
"cg08110610",50.33696635
"cg00684178",-4.690526728
"cg27380813",23.86577339
"cg03827386",110.1797375
"cg15849439",-504.0067068
"cg06349851",454.8924357
"cg25598319",3.939922596
"cg25845889",10.75763469
"cg15228492",-21.75938528
"cg03900798",191.6622257
"cg20576510",342.7732003
"cg12988996",-183.7439255
"cg11569478",297.911005
"cg01603456",50.03202467
"cg18584747",996.8635067
"cg17543884",56.40486483
"cg22090064",434.9143197
"cg11923914",373.3520806
"cg18394552",5.967773557
"cg24801535",-1103.928612
"cg12325588",-243.4170846
"cg23367341",-56.36359095
"cg04987004",60.46255977
"cg24859433",-259.2509625
"cg10940833",-10.62546838
"cg11539695",31.42722254
"cg26987613",-39.15139286
"cg17598713",799.1187632
"cg26433444",153.8408961
"cg25325512",-17.84716272
"cg02272457",531.5294897
"cg10169261",-1325.410004
"cg03098356",-329.9968963
"cg06649410",218.4150191
"cg15822010",214.5763712
"cg15089567",48.89002018
"cg00332048",-59.44875712
"cg01391867",315.5957426
"cg07113802",106.4230423
"cg03473532",-54.18274479
"cg15573979",-153.8787914
"cg08202754",49.91868454
"cg14260002",24.85657895
"cg06563451",414.6263936
"cg03460603",26.87362606
"cg25448355",67.88853867
"cg24493971",12.10499952
"cg02716826",-52.50445221
"cg14355192",889.2187136
"cg13649864",120.0670379
"cg11295183",-206.1000778
"cg18388639",-386.2805155
"cg06752157",192.7612803
"cg18148156",3.607803174
"cg19935065",37.40872983
"cg10549018",44.79242307
"cg07927953",54.1535853
"cg01057893",32.08628079
"cg04431596",246.1990249
"cg06806711",206.8026412
"cg13620770",-92.45843418
"cg03764506",-1107.850722
"cg07582047",-375.4098779
"cg16649728",18.1044628
"cg06854487",-91.85186774
"cg25371036",-63.83725478
"cg20941739",238.3202734
"cg05021075",-25.53862326
"cg01975858",35.84891365
"cg20923047",-32.27084007
"cg19783150",-257.9819092
"cg01641177",53.50240222
"cg07677157",-77.94426237
"cg21579274",156.2683611
"cg01687878",109.9563239
"cg18159533",-2848.649889
"cg04323814",30.12521329
"cg04836038",53.77337859
"cg16188984",110.6311589
"cg11605750",-825.21751
"cg18607491",-331.22962
"cg14870958",140.7820127
"cg19491388",147.4843953
"cg02135821",132.3872878
"cg09279803",43.06414352
"cg26481784",2829.033254
"cg19459791",63.74865214
"cg16730765",10.38872998
"cg19987111",-50.30792689
"cg02880119",3.545607474
"cg22616007",-1405.41315
"cg06946797",-48.5102352
"cg26837962",154.5844624
"cg08659340",114.9690948
"cg07984286",-14.04083554
"cg00417823",183.4249329
"cg05180206",142.1883159
"cg09899215",-6.373922244
"cg04379563",426.3469535
"cg09834822",19.38428275
"cg18951537",259.8302428
"cg23842572",154.9886623
"cg25613227",79.067056
"cg07660627",62.93665152
"cg22156456",-244.1789237
"cg18181703",-141.600624
"cg25876186",1177.887423
"cg23691771",191.4221658
"cg00870265",-723.1743584
"cg03739265",36.40133125
"cg03636183",-226.3866487
"cg02291424",551.3764281
"cg26853093",935.710318
"cg03110633",42.86724504
"cg07127225",-141.2970851
"cg24580066",1661.428137
"cg04588969",-1016.656813
"cg21727276",122.0893646
"cg09051966",7.65864894
"cg18345924",-47.03345919
"cg18638931",1.54447482
"cg23549061",15.96164758
