"pred.var","coef"
"cg02723850",0.006984216
"cg25856005",0.010433098
"cg15538418",-0.014876471
"cg14764050",0.000595846
"cg05380522",0.013170295
"cg17864619",0.001592613
"cg13808325",-0.001842415
"cg18331396",0.001564279
"cg23970798",0.001471912
"cg10544564",0.005990742
"cg07862083",0.00545791
"cg11706729",-0.007031802
"cg22317104",0.00824393
"cg18904784",-0.001018264
"cg08472459",-0.00945745
"cg08673864",0.008436527
"cg14954491",0.011201568
"cg17514654",0.003034243
"cg06751175",-0.015765261
"cg22011731",-0.006907427
"cg06755373",-0.026045085
"cg08388746",0.009303872
"cg02785814",0.013420809
"cg22839075",-0.00980448
"cg11501931",-0.001008968
"cg26195683",-0.003812396
"cg06046490",-0.005953804
"cg16557178",0.002435668
"cg14328457",0.021382531
"cg13152535",-0.003176217
"cg06947430",0.039194317
"cg05348973",0.004699688
"cg10552523",0.002128244
"cg03192919",-0.006833605
"cg22845236",-0.021040253
"cg07909178",-8.27e-05
"cg10626063",-0.02163313
"cg22976533",-0.010996859
"cg12119029",0.002983304
"cg22536775",-0.011029454
"cg25902229",0.001652025
"cg00641679",-0.000855149
"cg20566897",0.000198712
"cg27098804",-0.021545428
"cg18465834",0.014102061
"cg16651537",-0.12053633
"cg24790297",-0.058841869
"cg21664281",-0.015942429
"cg20308817",-0.02254801
"cg23485738",0.005495514
"cg20438663",-0.004809828
"cg10773601",-0.093002679
"cg09313122",-0.004892217
"cg00274203",-0.002720348
"cg21091421",0.00319687
"cg16393207",-0.006946908
"cg02638348",0.005069681
"cg01678091",0.006372406
"cg09978353",-0.007306597
"cg12146709",0.008430728
"cg27553457",-0.009657544
"cg22585255",0.00591461
"cg17174814",0.026830747
"cg17147589",-0.00281032
"cg27103083",-0.004934961
"cg07466576",0.000533331
"cg26507353",0.022909924
"cg23148838",0.037461477
"cg04300065",0.008490255
"cg13774342",0.014947551
"cg01974091",-0.001565082
"cg04272355",0.002369599
"cg18457110",0.017043534
"cg15480200",0.001433251
"cg18356170",0.006141365
"cg18934409",0.000242638
"cg02314702",-0.001958085
"cg11382794",0.005757412
"cg24481035",0.002456561
"cg07137983",-0.017335981
"cg25654774",0.01074737
"cg20518810",0.001572813
"cg19630478",0.005656656
"cg22238600",-0.001293615
"cg24401044",0.024045759
"cg11385631",0.000554226
"cg00621838",0.002264078
"cg02767788",0.005189109
"cg24513276",-0.003309623
"cg07751039",0.035048453
"cg20687616",-0.000710025
"cg07206202",-0.004977981
"cg20480899",0.000184983
"cg07396904",2.37e-05
"cg23031135",-0.013409405
"cg05881068",0.019688629
"cg14532376",0.000242733
"cg02622803",0.003765077
"cg01732463",0.020205732
"cg12536809",0.001271163
"cg09567197",0.030503714
"cg14796107",-0.002004828
"cg10634598",0.011228973
"cg18856478",-0.010745925
"cg10396281",-0.015231391
"cg15993027",-0.000135535
"cg11383802",-0.038465252
