"pred.var","coef"
"cg19551573",0.002426695
"cg10599035",-0.002064577
"cg08976163",0.018822126
"cg24651265",-0.001130578
"cg06302803",-0.002202237
"cg14116416",0.004714529
"cg11691093",-0.005298901
"cg13684444",-0.001116326
"cg14699126",0.002484326
"cg18118033",0.001192324
"cg20079193",0.008384979
"cg07583667",-0.001556486
"cg19774624",-0.000585138
"cg12301744",0.000448297
"cg08356572",0.014232263
"cg08016363",-0.002170935
"cg22877570",-0.006664688
"cg07339236",-0.018092446
"cg02060584",-0.000556221
"cg05059613",-0.008638999
"cg16677191",-0.001859289
"cg25246084",-0.011175084
"cg26257814",0.00769693
"cg12773030",-0.009516188
"cg23517208",0.000709536
"cg25983380",0.006950986
"cg07504977",0.03724364
"cg03310838",-0.000738396
"cg07869023",-0.000218679
"cg17969123",-0.015998209
"cg03264550",0.010000842
"cg19918208",-0.011625274
"cg11024682",0.01117785
"cg14643075",0.007368893
"cg10241823",0.007594364
"cg16931969",-0.000378066
"cg18315680",0.000943362
"cg15815084",-0.007280399
"cg11095027",0.029126295
"cg02790691",-0.002260134
"cg26200598",0.0067442
"cg10433043",0.003891671
"cg01588592",6.58e-05
"cg01459453",-0.018194869
"cg24313249",-0.002603048
"cg21573911",-0.016652326
"cg01256539",-0.010322373
"cg01571916",-0.000152948
"cg25617058",-0.01432636
"cg25718365",0.018875578
"cg09256832",0.014029659
"cg26825341",-0.024075397
"cg19784816",0.005286226
"cg06690548",-0.076073439
"cg12584355",0.000428652
"cg06711259",-0.005549316
"cg15342087",-0.031171621
"cg01217815",0.003422867
"cg21221540",0.002048136
"cg16648911",-0.00536701
"cg16729283",0.001599286
"cg15658344",-0.007203891
"cg12806681",-0.002799862
"cg00460818",0.007205471
"cg19774288",0.014376879
"cg02795546",0.002578291
"cg08619528",0.006458477
"cg04296321",0.00264216
"cg03294961",0.031578278
"cg23306063",-0.013774379
"cg05400732",0.006670048
"cg12074585",-0.000196773
