"pred.var","coef"
"cg23687994",0.015374454
"cg17445266",0.011974993
"cg01579206",-0.011464802
"cg24888989",0.004140706
"cg07121980",0.003480228
"cg22682031",0.000126767
"cg12280168",0.003189067
"cg15313226",-0.003362219
"cg08810065",-0.013814494
"cg01088561",0.010932562
"cg06372175",0.012925187
"cg08159148",0.003416317
"cg06617414",0.021188927
"cg24735790",0.000837496
"cg07582845",0.000380546
"cg19744952",0.010804384
"cg15143070",0.004739778
"cg13138952",0.00225081
"cg18035301",0.004358434
"cg23738624",-0.000193546
"cg18322693",0.003447103
"cg16792632",8.08e-05
"cg05721478",0.003578041
"cg16327891",-0.000843571
"cg04280246",0.013409464
"cg17930034",0.005996611
"cg18637383",0.000195207
"cg20567404",0.001744667
"cg19190728",0.004941344
"cg10522447",0.002614383
"cg10285466",0.001853357
"cg00142735",0.00354772
"cg17916916",0.0004737
"cg08792634",0.016627316
"cg20935945",0.010471324
"cg23888281",0.005534739
"cg04932928",-0.005642985
"cg26154268",-0.002229133
"cg05884392",0.004329598
"cg00796187",0.004787983
"cg08115833",-0.00091513
"cg00574958",-0.038085211
"cg05228404",0.001346272
"cg21543045",0.011124125
"cg15032142",0.020491359
"cg25817884",0.00338563
"cg05054468",0.0142393
"cg09557991",-0.001158376
"cg20000641",-0.005400361
"cg06203476",-0.009059471
"cg26266098",-0.003124987
"cg13402773",-0.011837971
"cg06797156",-0.014037992
"cg11197418",-0.013939773
"cg14755852",-0.002933732
"cg26041076",-0.009113165
"cg21183461",-0.012914426
"cg10919522",-0.004136676
"cg00202460",-0.000528941
"cg05438378",-0.010101931
"cg01348922",0.044039827
"cg06192883",0.003532089
"cg01243823",-0.005313604
"cg11082635",-0.011839072
"cg03405789",0.001476067
"cg17468267",0.009717101
"cg13679714",0.20073872
"cg03830006",0.33397061
"cg18628367",0.017869656
"cg07601804",-0.009153203
"cg05465604",-0.02035367
"cg07375256",0.014067752
"cg08173263",0.017915178
"cg18417954",0.019578578
"cg16145216",0.006223392
"cg06829760",-0.006541934
"cg20439889",0.006342544
"cg19236794",-0.032490134
"cg00310412",-0.003261156
"cg21288889",0.00198396
"cg02407308",0.00877015
"cg14938561",-0.002990743
"cg06894612",-0.021782142
"cg09092525",-0.000307348
"cg11010744",-0.001689638
"cg11550547",-0.008730094
"cg27274446",-0.016311383
"cg15134801",-0.00523404
"cg14009561",0.005259145
"cg20146909",-0.00672999
"cg21849875",-0.000503031
"cg00046156",-0.001061495
"cg05399330",-0.008033119
"cg14986890",-0.003735834
"cg23878730",-0.008934106
"cg00291292",-0.014027953
"cg17501210",-0.001743585
"cg19693031",-0.005498384
"cg12649038",0.005150248
"cg06764804",-0.001838401
"cg06221946",-0.002686289
"cg14943816",0.000722673
"cg18039042",-0.002260167
"cg01796676",-5.86e-05
"cg06946314",-0.011801079
"cg14624329",0.004068829
"cg24673886",0.016064935
"cg03608515",-0.007230263
"cg20971546",-0.001602066
"cg20222568",-0.006013191
"cg19296405",-0.003977975
"cg04597985",-0.004064797
"cg09088282",-0.00143618
"cg06690548",-0.060125525
"cg10879397",-0.00482983
"cg00052853",-0.002268767
"cg11947245",-0.001502726
"cg08651730",-0.025049128
"cg05465032",0.01007472
"cg09503566",-8.7e-05
"cg01435464",-0.014606281
"cg08290756",0.002789201
"cg06852293",-0.003479431
"cg00380692",-0.001718476
"cg12166447",-0.005100026
"cg01834979",0.032572778
"cg03549503",-0.000166961
"cg04658841",0.001334994
"cg22705114",0.008793214
"cg08148814",-0.003052244
"cg07231451",0.009724763
"cg07368062",-0.004668811
"cg23936294",-0.007904111
"cg04775566",-0.002646824
"cg01462453",-0.000228368
"cg21974350",-0.002326033
"cg20250605",0.002398144
"cg05324141",-0.001504027
"cg12242579",-0.004036056
"cg01186551",-0.000990653
"cg25689167",0.004731048
"cg05860111",0.006577779
"cg16823042",0.013687357
"cg04838050",-0.001576447
"cg09256716",0.010563124
"cg10674293",-0.000168153
"cg06503456",0.00098961
"cg07585257",0.004101619
"cg10371998",0.001277543
"cg22235600",-0.004305644
"cg01095004",-0.002104621
"cg13622068",-0.01576936
"cg05557291",-0.022833633
"cg08573869",-0.009785628
"cg00120157",-0.005751293
"cg01806442",-0.002877946
