"pred.var","coef"
"cg13799206",0.008730509
"cg20288518",0.00644615
"cg20855557",0.005611682
"cg11896633",0.004466099
"cg19046253",-0.005785013
"cg08115430",0.04360279
"cg01758899",-0.008919469
"cg21422770",0.031152097
"cg16210842",-0.025066192
"cg18338311",0.00567484
"cg20572816",0.003127002
"cg05219445",0.011311154
"cg21990700",0.004149463
"cg25109663",0.011624604
"cg16931664",-0.005981916
"cg03809021",0.005233475
"cg02883668",0.006802927
"cg21463262",-0.004283001
"cg05211480",-0.000377908
"cg26099045",-0.001310099
"cg05552874",0.002242621
"cg02413092",0.002861866
"cg26115667",-0.027695588
"cg09768983",0.003928236
"cg10373741",-0.014829704
"cg26673980",0.049361641
"cg04845319",-0.004264856
"cg00224465",-0.004916546
"cg09516523",-0.000368991
"cg19463531",-0.008405074
"cg23367351",-0.000913187
"cg00977903",-0.032600427
"cg19856444",-0.000495456
"cg13671721",-0.005393527
"cg05070372",-0.004656489
"cg12936779",-0.004117886
"cg02119577",0.036940867
"cg09629169",-0.005777666
"cg13765237",-0.004777483
"cg22788646",-0.017788311
"cg18645035",-0.001049991
"cg10391823",0.003323179
"cg17470198",-0.016633705
"cg15931233",-0.006402554
