"pred.var","coef"
"cg25220961",0.000360918
"cg26213873",0.043300181
"cg00134210",0.000150357
"cg00574958",0.011579124
"cg26615127",0.003026262
"cg10739556",0.01238619
"cg11199036",0.016231037
"cg16516405",0.003024642
"cg07816873",0.002463264
"cg05925497",-0.001329186
"cg26403843",-0.009619072
"cg15325961",0.002132511
"cg21784396",0.026243996
"cg07504977",-0.053131083
"cg23814743",0.036250521
"cg08685733",0.002238415
"cg10950358",-0.007628889
"cg09469355",0.006374516
"cg12068280",-0.015874317
"cg26744682",-0.00483524
"cg06500161",-0.072518875
"cg07628841",0.019730613
"cg00472758",-0.022056276
"cg13723431",-0.000304686
"cg00210249",-0.005097715
"cg19750657",-0.019097527
"cg04946709",-0.004923978
"cg03172931",-0.021057859
"cg03618918",-0.05897069
"cg18049474",0.006155405
"cg27264390",0.002040559
"cg12086806",0.004978336
"cg06690548",0.002220059
"cg08370839",0.006890571
"cg11643285",0.116583205
"cg15089217",-0.034262824
"cg08438920",-0.006058459
"cg21913775",-0.011773451
"cg26734215",-0.002949452
