"pred.var","coef"
"intercept",-1129.60174404828
"cg10143960",62.5784049524286
"cg07284273",321.195548093084
"cg17747265",-476.725772207176
"cg09971184",6221.58538677719
"cg00935435",7843.17989918588
"cg15651727",-313.140779458131
"cg13990487",-3855.91641161794
"cg00456299",3294.65246133169
"cg04974804",752.231537923903
"cg13574848",-47.9312344878727
"cg25616777",301.096772875814
"cg12386614",-321.520352385496
"cg15355146",24.4020012266512
"cg19471466",-568.066592646645
"cg14709691",-3272.8876568558
"cg21280384",1760.79304009563
"cg14476101",-6259.56122146396
"cg19693031",-10119.8153489857
"cg16700924",2037.01918423207
"cg20246707",2472.40355189665
"cg01365152",-3049.89784872191
"cg20327105",4225.28258552688
"cg25741192",982.728795854807
"cg13678787",-152.876600130829
"cg02591356",-356.97500660105
"cg26471058",-4542.03006736831
"cg25939861",433.330810077809
"cg03913456",-169.242463668806
"cg24506130",-2095.55052056017
"cg26009035",311.520496094602
"cg05308744",-17.0053235216698
"cg22663545",4431.73595657001
"cg02767242",1918.00232492816
"cg13603203",2327.35823769894
"cg20951650",4428.04258815339
"cg18405719",-764.82589537862
"cg21614211",2152.27055398216
"cg06813250",390.863360138566
"cg15705999",895.783094347649
"cg09000779",1794.70656686548
"cg12473849",-406.838774246936
"cg27336439",-1818.64073444542
"cg00480331",810.036996822782
"cg13724379",2360.00658353292
"cg15012625",-1971.54146613124
"cg01658265",-2011.4864768669
"cg00252095",-2538.08505562673
"cg26805150",-427.282963472064
"cg02373784",4591.7244580666
"cg07951602",286.762956266362
"cg19719391",2803.88935517401
"cg08284371",3668.76930797498
"cg26816491",819.75699601319
"cg06690548",-4122.69321885428
"cg18376497",-314.354447788838
"cg06176987",1383.0912312867
"cg22744079",-642.074330928453
"cg16400903",60578.6404360756
"cg09884076",2251.88730947462
"cg12599971",423.237025898395
"cg26403843",1921.42862897199
"cg07017437",-833.537270654571
"cg21036336",1048.38377658907
"cg03714531",26482.8990551745
"cg23036136",-752.416835652032
"cg10189661",758.934653901358
"cg05218245",11272.9654881753
"cg04018738",4711.76495038461
"cg02115397",1757.93742083883
"cg12927358",9715.71108074923
"cg05466385",-348.541678282973
"cg01702009",1763.91920629277
"cg06560379",-23106.4173733175
"cg21710255",-216.905829016918
"cg20459712",1535.20465459505
"cg18718984",922.054369224994
"cg03707967",-41.2290310684461
"cg02027561",-2438.11658298538
"cg00695799",-1048.59181629299
"cg18116267",-5706.48351228803
"cg17501210",-4317.18838588912
"cg26905845",-1895.45033250821
"cg03730314",187.184639055727
"cg03394401",-944.214587285455
"cg19196326",195.204242908994
"cg13550401",4758.16646580675
"cg08549335",-321.236294533304
"cg17220237",194.000618340837
"cg22322818",-6245.03651475134
"cg08695830",-2189.09813663465
"cg17981101",-1514.63789773027
"cg01337813",2628.36480536326
"cg25977769",85.9903619096373
"cg07592681",-3266.77536007406
"cg09584650",-958.157667168643
"cg01070197",-20393.5517969426
"cg17744279",-661.045187531749
"cg13518625",-1163.40939437005
"cg03393241",-291.61359342961
"cg22660904",1387.80475709487
"cg26074100",-238.287555907646
"cg01029867",-42460.6632003685
"cg14268714",2283.34502093503
"cg13673536",3638.56333024631
"cg14457452",-297.088826577206
"cg21208062",-3.71568472308202
"cg12020464",146.909740599135
"cg13873209",-1613.12612574775
"cg13499318",-488.440909462557
"cg13915886",-208.485389915419
"cg08614871",-1942.93585925898
"cg22660341",-73.732802036734
"cg19647685",1921.80428608733
"cg03153178",1362.7459899851
"cg10531748",609.443408023608
"cg01508796",2208.75469556226
"cg06439736",-3785.22750219314
"cg18853287",-2207.61625490832
"cg13446658",3090.43599824151
"cg03322338",-325.549108554453
"cg09566331",304.097592397196
"cg21992507",1822.75173102277
"cg01438090",-984.627060938925
"cg01562537",1498.63311738538
"cg17044529",25.571662541445
"cg00574958",-50898.295418854
"cg17058475",-3697.61438960659
"cg21960184",17725.6226800034
"cg02395454",-209.902260968191
"cg24675983",187.825985073899
"cg21574681",902.487694645701
"cg17850642",2078.15974551696
"cg01031441",-492.847166676544
"cg01638369",1236.6718734728
"cg07539443",4190.0206478474
"cg15997315",1832.4089265199
"cg13842421",-520.012939870547
"cg02925268",9389.49146840597
"cg26975476",-265.291074871729
"cg13589330",5258.29798295657
"cg02853801",-193.110271115522
"cg06147196",70.0677573883165
"cg24126612",435.208332126107
"cg26407029",3935.61490667992
"cg01802397",10016.6239900023
"cg01885071",2460.86911331993
"cg01308343",-704.475333005872
"cg15471661",386.650812245864
"cg16558846",-2618.40749610121
