"pred.var","coef"
"cg24869172",0.009199902
"cg04108811",0.020980955
"cg05338745",0.00454203
"cg11125146",0.013925348
"cg14096051",-0.001638039
"cg02901122",0.004686082
"cg16803522",-0.002480086
"cg17683390",0.003509929
"cg22982173",0.020373992
"cg19350420",0.009702794
"cg18387085",-0.001130177
"cg02479773",0.020601882
"cg26558919",-0.007850416
"cg08067721",0.000433682
"cg24084363",-0.001973916
"cg26815471",-0.008406663
"cg13885320",-0.003776872
"cg13592043",-0.002760017
"cg16602799",7.74e-05
"cg09540952",-0.021368501
"cg09856410",-0.001148186
"cg12193484",0.013929737
"cg00030816",0.017836965
"cg02554810",0.001851686
"cg12799689",0.004203259
"cg08201690",0.002857133
"cg14043925",0.016371825
"cg21600850",0.012479522
"cg12988843",0.012739388
"cg26695837",0.002361088
"cg07325041",0.013986912
"cg09007236",-0.002295619
"cg10903826",0.005001909
"cg20773694",-0.005218738
"cg24070543",0.0106664
"cg11504081",-0.00192615
"cg05143887",0.001072828
"cg07849972",-0.021710547
"cg13641692",-0.0119031
"cg18175036",0.025344947
"cg23071962",-0.014521262
"cg25527618",0.009769482
"cg21167072",0.022866501
"cg05783998",0.011371301
"cg00673557",-0.002452549
"cg14054120",0.01247423
"cg02090569",-0.015961933
"cg20879757",-0.00164485
"cg02460251",0.003757981
"cg03509777",-0.005863063
"cg09903090",-0.001026162
"cg08715805",-0.007876162
"cg12577010",-0.009923298
"cg20563447",-0.004188356
"cg20773320",-0.001182262
"cg00394316",0.016880271
"cg07955995",0.030202987
"cg10088320",-0.006583806
"cg23445461",0.015076845
"cg19579058",6.48e-05
"cg24650522",0.004401847
"cg00987630",0.003317477
"cg06905913",0.000149342
"cg16361302",0.02669349
"cg14142283",-0.003168372
"cg16597045",-0.016796579
"cg12894449",0.013786089
"cg14305711",-0.000440812
"cg12648074",0.029312177
"cg19909865",-0.010269593
"cg14449251",-0.000268443
"cg26492631",-0.003539902
"cg05352087",0.018049368
"cg14507891",-0.022154384
"cg06032302",-0.017034216
"cg21230427",-0.004445059
"cg27005794",0.004081444
"cg25988034",-0.000321722
"cg05669906",-0.017699919
"cg02378269",-0.013040293
"cg02415029",-0.004323876
"cg11272491",0.003575002
"cg07763516",-0.025649655
"cg22682811",0.009761232
"cg14196263",-0.015622025
"cg23606718",0.016879757
"cg17144547",0.005181878
"cg07569701",0.002763195
"cg19761273",-0.008884635
"cg25427880",0.016954784
"cg00748589",0.020628448
"cg00169419",0.00036116
"cg08679951",-0.00773685
"cg06448705",0.01510173
"cg00151370",0.003995236
"cg14242246",-0.005291818
"cg18445088",0.013698938
"cg03928384",0.014543302
"cg11826475",-0.005213328
"cg27029821",0.002878444
"cg18327056",0.00031192
"cg04496281",-0.021096461
"cg00048759",0.001147679
"cg05280698",0.00654083
"cg12121643",0.002546818
"cg02635260",-0.007176511
"cg01692968",-0.006240574
"cg12024906",0.002479039
"cg07850154",-0.024656716
"cg02491878",0.002342117
"cg04762129",-0.012254984
"cg16602316",0.004845689
"cg11024682",0.006487432
"cg01898867",0.01353732
"cg06575692",0.016366042
"cg11847992",-0.026886273
"cg15548613",0.001053403
"cg12078157",0.009484976
"cg17148457",-0.007225622
"cg25586329",-0.003664759
"cg23378941",-0.007138464
"cg01581781",-0.021569708
"cg04370730",-0.005611318
"cg27001715",-0.004971311
"cg07326071",0.000862756
"cg26298737",-0.003200224
"cg08298591",0.002570213
"cg03547355",-0.004909226
"cg11436113",-0.00636496
"cg01940273",-0.033218381
"cg21050282",-0.010719791
"cg17619755",0.003168865
"cg06262098",-0.001305752
"cg13221767",0.004893475
"cg25112191",0.01838434
"cg21566642",-0.075547859
"cg13737408",0.002378117
"cg07054804",0.006641471
"cg22352176",-0.000720833
"cg17154975",-0.001772895
"cg18031326",0.018746676
"cg02467858",-0.013934527
"cg04694205",-0.011078044
"cg04605617",0.004602251
"cg05972503",0.002021578
"cg00908828",-0.010502621
"cg22226024",-0.009897995
"cg18892668",-0.009190989
"cg09935388",-0.004835578
"cg10228323",-0.006582751
"cg16867657",0.120927403
"cg13333374",0.001423973
"cg03473532",-0.027526803
"cg18009000",0.001518022
"cg02974085",-0.007263725
"cg04326348",0.00199574
"cg11797898",0.001730287
"cg08077071",0.001571582
"cg07243930",0.004420631
"cg13570637",0.012194036
"cg12297125",-0.024957424
"cg07711387",-0.00545362
"cg06603325",-0.017100749
"cg26942952",-0.000420024
"cg05265024",-0.010516654
"cg05280794",0.02184894
"cg04543510",0.000698213
"cg01941278",0.011895367
"cg19337279",0.005977002
"cg07205589",0.008869423
"cg18819619",-0.018220923
"cg12663490",0.006924768
"cg11806199",0.000795315
"cg21375105",0.003024983
"cg02794104",0.017773476
"cg27438152",0.008039437
"cg14737125",0.01056124
"cg12464194",-0.002617373
"cg14827481",0.023358595
"cg00380904",-0.00377732
"cg01517148",0.003023953
"cg25556225",0.018687733
"cg06360604",0.014419968
"cg13503382",-0.018131643
"cg01667493",-0.010747101
"cg18882156",0.012872973
"cg27308386",-0.003221044
"cg01960979",-0.021683985
"cg10882886",-0.026329488
"cg25342864",0.002747564
"cg16409452",-0.005640562
"cg02994291",0.003083397
"cg15342087",-0.066713315
"cg13077150",-0.004566661
"cg14384933",-0.011187068
"cg05360665",-0.019790176
"cg01291508",-0.000468909
"cg05437857",0.003949889
"cg05800756",-0.007780551
"cg16347811",-0.01227014
"cg26701266",-0.002253437
"cg27117439",0.01017285
"cg27576971",-0.002990625
"cg11477892",-0.00016261
"cg05575921",-0.040024801
"cg04370634",-0.001664006
"cg00418663",0.014053831
"cg23820746",-0.008381624
"cg12790106",0.008337652
"cg26655772",-0.004798683
"cg02470179",-0.000126032
"cg06705591",0.002657625
"cg12629689",0.0084046
"cg25180248",-0.009380369
"cg09444586",-0.001357366
"cg03727433",-0.00154921
"cg05088794",-0.011711714
"cg03054277",0.023326566
"cg19174165",-0.002787495
"cg27528242",-0.013094923
"cg03352168",-0.012552328
"cg02826685",0.015541722
"cg16209924",-0.006118271
"cg03114636",0.013450366
"cg01082057",0.017138549
"cg21356293",-0.009689558
"cg25947845",0.01079755
"cg04135635",9.7e-05
"cg22382235",-5.69e-05
"cg20820259",-0.001595953
"cg10690283",0.004767887
"cg09611642",0.006775643
"cg10262564",0.002204405
"cg01564705",-0.012563654
"cg03217209",-0.015328643
"cg01959873",0.00451062
"cg06703844",0.000541886
"cg17497052",-0.003359814
"cg02915225",0.002766584
"cg02607786",-0.001804507
"cg19045762",-0.007974161
"cg08424166",0.009878915
"cg26537894",-0.001680237
"cg07694544",-0.004602346
"cg19418273",-0.003023396
"cg04438453",-0.006399263
"cg14290070",-0.000717213
"cg11790551",-0.018548918
"cg14011077",-0.009932992
"cg05655953",-0.009403108
"cg21287554",0.000723071
"cg11098525",0.01357462
"cg21553283",-0.007705766
"cg16832975",-0.003256789
"cg11392062",-0.012721157
"cg10784273",-0.001588535
"cg27412039",-0.000568671
