"pred.var","coef"
"cg19708576",0.006736183
"cg00645897",0.022533962
"cg07265716",-0.007730406
"cg09628838",0.031386016
"cg02226688",-0.012876185
"cg24692861",-0.033975697
"cg26843430",-0.013194365
"cg04609859",0.004443383
"cg07926996",-0.01480981
"cg20681735",0.014293583
"cg24809072",0.003531061
"cg26484333",0.030126456
"cg26632873",-0.011596583
"cg13633529",0.000475554
"cg26408777",0.000614934
"cg21565550",0.011121424
"cg17307752",0.010586026
"cg09250581",-0.001161648
"cg13416213",0.006192879
"cg07456485",0.005508383
"cg03895690",-0.011062907
"cg27495623",0.005267612
"cg17081063",0.013560365
"cg02299586",0.004215083
"cg10532262",0.005145118
"cg00866667",-0.017505067
"cg24159547",0.007221583
"cg02732671",0.003100379
"cg01305328",0.010500069
"cg22608147",0.004453185
"cg10767920",0.002675679
"cg09893588",0.003992399
"cg04505333",0.020032994
"cg14726229",0.01134489
"cg27030141",-0.012597589
"cg16490896",-0.00641996
"cg10983720",0.012104152
"cg04766136",0.018231503
"cg23697400",-0.020800453
"cg14345497",0.012165931
"cg15722372",0.015314646
"cg11755740",-0.009974624
"cg24167603",0.00776795
"cg18466674",-0.00075597
"cg24667644",0.003064814
"cg10953983",-0.004331446
"cg25771615",-0.007910788
"cg04019438",-0.00380171
"cg23653187",0.019338607
"cg11420768",-0.018936436
"cg03647944",0.002418391
"cg14449571",0.000307041
"cg07667161",-0.007769861
"cg20660197",0.005097205
"cg24300924",-0.006635867
"cg03587150",-0.004393062
"cg06905984",0.017703641
"cg17257175",-0.001544216
"cg20244474",-0.026129141
"cg14214262",0.019845877
"cg17329304",-0.007180511
"cg01758993",-0.007351038
"cg03635300",0.004495686
"cg01543300",-0.002134737
"cg17484237",3.42e-06
"cg04951797",-0.000645656
"cg01867647",0.003431889
"cg00574958",0.005072579
"cg22974215",-0.002373369
"cg05926266",-0.009911213
"cg01027739",0.012351116
"cg18856652",-0.005132323
"cg06968181",-0.001652926
"cg07300846",-0.002587949
"cg08871855",-0.006587234
"cg13426829",0.022103541
"cg06400428",-2.69e-05
"cg19246761",-0.005859953
"cg20594809",0.007391119
"cg03652336",-0.032795222
"cg03841977",0.018363219
"cg04355697",-0.002830086
"cg21448057",0.000496598
"cg02416424",0.053483263
"cg11976790",-0.015742485
"cg18825419",-0.001603541
"cg19755435",0.012356343
"cg11552287",-0.001832293
"cg16289929",-0.008249862
"cg20596640",-0.000166548
"cg03679755",0.007287723
"cg05438378",0.004349015
"cg04821520",0.005148342
"cg01802713",-0.002316779
"cg12872311",-0.000894685
"cg23021329",-0.00633838
"cg26403843",-0.018063927
"cg08614290",-0.003169643
"cg18739950",-0.003691272
"cg00119073",-0.000551613
"cg21195235",0.002702894
"cg06130322",-0.026925993
"cg07167185",-0.00985141
"cg15637286",-0.005973486
"cg05374025",0.007353901
"cg10788927",-0.013855859
"cg19403021",-0.02179299
"cg07480176",-0.002286117
"cg03551401",0.007729356
"cg26609120",0.02188117
"cg21579239",-0.006360848
"cg04536393",-0.010856551
"cg18127680",-0.001243283
"cg02272576",-0.006518841
"cg14091103",-0.000862626
"cg05685023",-0.000970069
"cg11123440",0.00850185
"cg20547031",0.004452113
"cg00969446",-0.000142143
"cg06500161",-0.003437519
"cg27401724",-0.006864697
"cg15474579",-0.004256411
"cg03527802",-0.018773519
"cg14476101",0.036483198
"cg23752752",-0.023629475
"cg07211292",-0.00202737
"cg03489492",0.009523732
"cg18137779",0.02070453
"cg19109050",0.012590338
"cg08313382",0.00021019
"cg16665442",0.006793683
"cg25279613",0.014688704
"cg26845138",0.026561494
"cg08581004",0.001580593
"cg18355337",0.002547333
"cg17228698",0.004181286
"cg00159289",0.007864829
"cg26720235",0.001338117
"cg19693031",0.018160965
"cg11466708",9.73e-05
"cg04113258",0.009712912
"cg14178380",-0.004524071
"cg04080994",0.018987261
"cg24059623",0.004117143
"cg05900955",0.005557466
"cg14322298",0.00034209
"cg00469797",0.003264864
"cg02331769",0.018762819
"cg02590409",0.012329631
"cg05451527",0.000680244
"cg20697204",0.01205325
"cg09838442",0.004122617
"cg18655025",0.007408558
"cg05486616",0.003072605
"cg18052778",0.002041535
"cg06505343",-0.001991288
"cg09501047",0.011931764
"cg26197256",-0.01896679
"cg03033344",0.007184808
"cg02970919",-0.002687619
"cg05545808",0.010821149
"cg23342234",0.008413899
"cg13224420",0.034193258
"cg02707277",0.011379254
"cg05104897",0.003368335
"cg22715531",0.002697105
"cg27462475",-0.003782855
"cg16926734",-0.004004331
"cg18103043",-0.000245099
"cg07232823",0.006785082
"cg14520941",-0.008306176
"cg14688430",-0.000117491
"cg26997966",0.005552502
"cg21974580",-0.008552429
"cg00834755",0.000276106
"cg07273222",0.018986197
"cg22365350",0.004831915
"cg20240791",-0.011037324
"cg22643217",-0.000355146
"cg07226964",0.003160513
"cg02190636",0.001239426
"cg26963259",0.009347285
"cg06113708",0.002719574
"cg15173741",0.002566336
"cg24340657",0.003212116
"cg03852847",-0.02104207
"cg07571202",0.013130677
"cg14475854",-0.014787641
"cg11566520",-0.003252688
"cg24410469",-0.00377354
"cg01935096",0.001083452
"cg26505567",-0.000337089
"cg26156279",-0.004792388
"cg04212081",0.005996506
"cg15156059",-0.017875536
"cg14508021",0.002298856
"cg00463840",0.013668821
"cg26529437",-0.010956437
"cg00369056",-0.002379024
"cg27306680",0.009188161
"cg04359022",0.008519167
"cg10655499",-0.013116876
"cg25948075",0.001121485
"cg07873155",0.017075922
"cg03268463",-0.005860271
"cg16744856",-0.001972951
"cg14615914",-0.002748544
"cg02040387",-2.28e-05
"cg13798912",-0.010043593
"cg02095530",0.022735964
"cg13696013",-0.011678526
"cg16075266",0.001246856
"cg11801727",-0.016532624
"cg26716103",-0.005822647
"cg23858195",-0.019236821
"cg14178043",-2.62e-06
"cg17731065",-0.018806941
"cg25805482",-0.017690439
"cg03979378",0.003220108
"cg04103837",-0.005326107
"cg02489492",0.0240235
"cg15015070",0.005915648
"cg10016004",0.003730113
"cg15866021",-0.003126772
"cg25838060",0.016452354
"cg14023073",-0.00750385
"cg09567823",0.00052133
"cg19515446",-0.001658058
"cg00912164",-0.000757165
"cg21652323",0.023769336
"cg05212664",0.008054238
"cg08404702",-0.015055542
"cg13260856",-0.025588111
"cg15373896",0.003826162
"cg10642164",-0.001672318
"cg05899338",-0.005215249
"cg15776929",0.007618628
"cg01943585",0.001236565
"cg09700512",0.033173248
"cg01234251",-0.002967723
"cg24496349",-0.011408395
"cg06785822",0.0241208
"cg25981992",-0.012624186
"cg05138787",-0.002680969
"cg03596067",0.000421768
"cg04304064",0.010527249
"cg13822122",0.000493309
"cg13678428",-0.004557372
"cg23685586",-0.00650863
"cg10396281",-0.005023924
"cg03714842",-0.008668409
"cg00425885",0.007424003
"cg07291802",-0.020107338
"cg02570682",-0.003174239
"cg19502417",0.007324474
"cg19541247",-0.000315633
"cg15996284",0.008659716
"cg08106487",0.001286584
