"pred.var","coef"
"cg25713821",0.001105368
"cg00464056",0.028183767
"cg13475699",0.0021981
"cg19724668",-0.001664641
"cg05078106",-0.015279421
"cg27141898",0.002256098
"cg11665564",-0.008176063
"cg17801268",-0.024845875
"cg22648811",-0.008447266
"cg16051558",0.008209505
"cg07210263",0.008000244
"cg21220719",-0.004090475
"cg07312579",0.005410546
"cg03338682",-0.006412968
"cg22717114",-0.008645317
"cg12740527",-0.031732926
"cg01062980",0.012729639
"cg11980147",-0.000749664
"cg14784608",0.012436239
"cg24888187",-0.015937948
"cg03282932",0.005342408
"cg19941370",-0.001503362
"cg23329752",-0.014056148
"cg09316894",0.015430159
"cg17878935",0.001316794
"cg10008970",0.021338671
"cg08635685",0.004961114
"cg26360121",0.005284559
"cg15565319",0.001910495
"cg06948825",0.004298059
"cg21870469",0.00450755
"cg01556502",-0.023351019
"cg03053893",-0.016553053
"cg12365451",-1.98e-06
"cg00720137",0.021319605
"cg21640038",0.01606987
"cg09158314",0.008451891
"cg04730319",0.013897296
"cg21965820",0.014853571
"cg23026246",0.004751191
"cg23991274",-0.001533209
"cg00827989",0.021067368
"cg00949511",0.00695261
"cg13767294",-0.01084202
"cg20163532",0.00136786
"cg22663080",0.000950957
"cg09400194",-0.000793475
"cg16579225",0.001061284
"cg11632419",0.000136904
"cg01911191",0.009934635
"cg27068330",-0.008406378
"cg03938580",0.0007318
"cg05076167",-0.005166463
"cg17182817",0.005605167
"cg09222287",0.002448542
"cg08820497",0.004866031
"cg05278442",-0.013299604
"cg13801381",0.002662908
"cg05495949",-0.005791279
"cg10847032",-0.001564322
"cg13138952",0.034455537
"cg12045337",-0.007427629
"cg18035301",0.02706744
"cg25125898",0.005713164
"cg02636222",-0.012785041
"cg02998278",-0.02614708
"cg00765312",0.006437447
"cg17554472",-0.000141495
"cg04943661",0.000496042
"cg14097373",0.007911118
"cg11861043",0.002497549
"cg13524873",-0.000424623
"cg08736446",0.002345046
"cg21194937",0.017671657
"cg22977667",0.009955816
"cg05538266",0.02399077
"cg27347290",0.004065904
"cg26146542",0.003424236
"cg09767602",-0.014408975
"cg26274580",-0.003582274
"cg18119863",-0.00483864
"cg15569052",-0.008397596
"cg03427576",0.001058467
"cg08322240",-0.001335771
"cg15504747",0.009317771
"cg03819783",-0.011470358
"cg03123608",-0.009903172
"cg12972062",-0.002208243
"cg04306007",0.015014781
"cg07590196",-0.003125517
"cg14416559",0.005227098
"cg02314091",0.001474489
"cg23413066",0.001037517
"cg26283879",-0.001131936
"cg16443970",0.027907197
"cg12105450",0.008063469
"cg02069999",-0.010951961
"cg16270819",0.000292059
"cg12190322",-0.00512728
"cg00857998",0.014359282
"cg20115218",-0.021410357
"cg25129765",-0.0040757
"cg01102270",0.001099024
"cg09030830",0.020449168
"cg11113759",0.004927541
"cg26950953",0.002579577
"cg00574958",-0.037299392
"cg12120327",0.001239088
"cg22081008",-0.001056573
"cg22527415",-0.000915749
"cg12483876",-0.009677067
"cg14134732",-0.023761809
"cg14042504",0.00103962
"cg01881899",0.036138442
"cg01215936",-0.001765046
"cg17691657",0.011873325
"cg26705574",-0.003980445
"cg16919517",0.005277075
"cg17862152",0.011272367
"cg19843939",0.0066352
"cg24406917",0.00670587
"cg19291576",0.004149963
"cg24458609",0.007654229
"cg16752652",-0.001949609
"cg16300030",-0.002274111
"cg27297576",0.002075094
"cg23375719",-0.005285336
"cg01848115",0.002680268
"cg01097180",0.00857287
"cg06606199",0.001413845
