"name","tissue","target","publication","source","filename"
"waterfield-VEGFA-F24-450K","blood","VEGFA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/VEGFA_F24_450K-coefs.csv"
"waterfield-MCP3-F24-450K","blood","MCP3","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/MCP3_F24_450K-coefs.csv"
"waterfield-OPG-F24-450K","blood","OPG","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/OPG_F24_450K-coefs.csv"
"waterfield-uPA-F24-450K","blood","uPA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/uPA_F24_450K-coefs.csv"
"waterfield-OSM-F24-450K","blood","OSM","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/OSM_F24_450K-coefs.csv"
"waterfield-IL15RA-F24-450K","blood","IL15RA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL15RA_F24_450K-coefs.csv"
"waterfield-IL10RB-F24-450K","blood","IL10RB","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL10RB_F24_450K-coefs.csv"
"waterfield-IL12B-F24-450K","blood","IL12B","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL12B_F24_450K-coefs.csv"
"waterfield-IL13-F24-450K","blood","IL13","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL13_F24_450K-coefs.csv"
"waterfield-CCL3-F24-450K","blood","CCL3","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL3_F24_450K-coefs.csv"
"waterfield-IFNgamma-F24-450K","blood","IFNgamma","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IFNgamma_F24_450K-coefs.csv"
"waterfield-NRTN-F24-450K","blood","NRTN","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/NRTN_F24_450K-coefs.csv"
"waterfield-MCP2-F24-450K","blood","MCP2","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/MCP2_F24_450K-coefs.csv"
"waterfield-CCL20-F24-450K","blood","CCL20","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL20_F24_450K-coefs.csv"
"waterfield-IL8-F24","blood","IL8","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL8_F24-coefs.csv"
"waterfield-VEGFA-F24","blood","VEGFA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/VEGFA_F24-coefs.csv"
"waterfield-CD8A-F24","blood","CD8A","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CD8A_F24-coefs.csv"
"waterfield-MCP3-F24","blood","MCP3","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/MCP3_F24-coefs.csv"
"waterfield-GDNF-F24","blood","GDNF","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/GDNF_F24-coefs.csv"
"waterfield-CDCP1-F24","blood","CDCP1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CDCP1_F24-coefs.csv"
"waterfield-CD244-F24","blood","CD244","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CD244_F24-coefs.csv"
"waterfield-IL7-F24","blood","IL7","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL7_F24-coefs.csv"
"waterfield-OPG-F24","blood","OPG","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/OPG_F24-coefs.csv"
"waterfield-uPA-F24","blood","uPA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/uPA_F24-coefs.csv"
"waterfield-IL6-F24","blood","IL6","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL6_F24-coefs.csv"
"waterfield-IL17C-F24","blood","IL17C","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL17C_F24-coefs.csv"
"waterfield-MCP1-F24","blood","MCP1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/MCP1_F24-coefs.csv"
"waterfield-IL17A-F24","blood","IL17A","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL17A_F24-coefs.csv"
"waterfield-CXCL11-F24","blood","CXCL11","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CXCL11_F24-coefs.csv"
"waterfield-AXIN1-F24","blood","AXIN1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/AXIN1_F24-coefs.csv"
"waterfield-TRAIL-F24","blood","TRAIL","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/TRAIL_F24-coefs.csv"
"waterfield-IL20RA-F24","blood","IL20RA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL20RA_F24-coefs.csv"
"waterfield-CXCL9-F24","blood","CXCL9","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CXCL9_F24-coefs.csv"
"waterfield-CST5-F24","blood","CST5","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CST5_F24-coefs.csv"
"waterfield-IL2RB-F24","blood","IL2RB","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL2RB_F24-coefs.csv"
"waterfield-OSM-F24","blood","OSM","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/OSM_F24-coefs.csv"
"waterfield-IL2-F24","blood","IL2","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL2_F24-coefs.csv"
"waterfield-CXCL1-F24","blood","CXCL1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CXCL1_F24-coefs.csv"
"waterfield-TSLP-F24","blood","TSLP","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/TSLP_F24-coefs.csv"
"waterfield-CCL4-F24","blood","CCL4","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL4_F24-coefs.csv"
"waterfield-CD6-F24","blood","CD6","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CD6_F24-coefs.csv"
"waterfield-SCF-F24","blood","SCF","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/SCF_F24-coefs.csv"
"waterfield-IL18-F24","blood","IL18","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL18_F24-coefs.csv"
"waterfield-SLAMF1-F24","blood","SLAMF1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/SLAMF1_F24-coefs.csv"
"waterfield-TGFalpha-F24","blood","TGFalpha","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/TGFalpha_F24-coefs.csv"
"waterfield-MCP4-F24","blood","MCP4","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/MCP4_F24-coefs.csv"
"waterfield-CCL11-F24","blood","CCL11","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL11_F24-coefs.csv"
"waterfield-TNFSF14-F24","blood","TNFSF14","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/TNFSF14_F24-coefs.csv"
"waterfield-FGF23-F24","blood","FGF23","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/FGF23_F24-coefs.csv"
"waterfield-IL10RA-F24","blood","IL10RA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL10RA_F24-coefs.csv"
"waterfield-FGF5-F24","blood","FGF5","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/FGF5_F24-coefs.csv"
"waterfield-MMP1-F24","blood","MMP1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/MMP1_F24-coefs.csv"
"waterfield-LIFR-F24","blood","LIFR","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/LIFR_F24-coefs.csv"
"waterfield-FGF21-F24","blood","FGF21","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/FGF21_F24-coefs.csv"
"waterfield-CCL19-F24","blood","CCL19","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL19_F24-coefs.csv"
"waterfield-IL15RA-F24","blood","IL15RA","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL15RA_F24-coefs.csv"
"waterfield-IL10RB-F24","blood","IL10RB","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL10RB_F24-coefs.csv"
"waterfield-IL22RA1-F24","blood","IL22RA1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL22RA1_F24-coefs.csv"
"waterfield-IL18R1-F24","blood","IL18R1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL18R1_F24-coefs.csv"
"waterfield-PDL1-F24","blood","PDL1","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/PDL1_F24-coefs.csv"
"waterfield-BetaNGF-F24","blood","BetaNGF","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/BetaNGF_F24-coefs.csv"
"waterfield-CXCL5-F24","blood","CXCL5","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CXCL5_F24-coefs.csv"
"waterfield-TRANCE-F24","blood","TRANCE","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/TRANCE_F24-coefs.csv"
"waterfield-HGF-F24","blood","HGF","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/HGF_F24-coefs.csv"
"waterfield-IL12B-F24","blood","IL12B","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL12B_F24-coefs.csv"
"waterfield-IL24-F24","blood","IL24","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL24_F24-coefs.csv"
"waterfield-IL13-F24","blood","IL13","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL13_F24-coefs.csv"
"waterfield-ARTN-F24","blood","ARTN","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/ARTN_F24-coefs.csv"
"waterfield-MMP10-F24","blood","MMP10","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/MMP10_F24-coefs.csv"
"waterfield-IL10-F24","blood","IL10","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL10_F24-coefs.csv"
"waterfield-TNF-F24","blood","TNF","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/TNF_F24-coefs.csv"
"waterfield-CCL23-F24","blood","CCL23","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL23_F24-coefs.csv"
"waterfield-CD5-F24","blood","CD5","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CD5_F24-coefs.csv"
"waterfield-CCL3-F24","blood","CCL3","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL3_F24-coefs.csv"
"waterfield-Flt3L-F24","blood","Flt3L","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/Flt3L_F24-coefs.csv"
"waterfield-CXCL6-F24","blood","CXCL6","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CXCL6_F24-coefs.csv"
"waterfield-CXCL10-F24","blood","CXCL10","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CXCL10_F24-coefs.csv"
"waterfield-IL20-F24","blood","IL20","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/IL20_F24-coefs.csv"
"waterfield-SIRT2-F24","blood","SIRT2","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/SIRT2_F24-coefs.csv"
"waterfield-CCL28-F24","blood","CCL28","10.1101/2024.06.13.24308877","https://www.medrxiv.org/content/medrxiv/early/2024/06/13/2024.06.13.24308877/DC2/embed/media-2.zip?download=true","waterfield/models/CCL28_F24-coefs.csv"
