"pred.var","coef"
"cg26879815",-0.011279399
"cg01053411",-0.011403555
"cg10364301",0.00207496
"cg00837434",-0.000481269
"cg16331890",0.00736353
"cg01681367",-0.034184286
"cg02202022",0.01026469
"cg12691382",0.026021876
"cg19131731",0.004170895
"cg00861277",0.001169256
"cg10296410",0.006218387
"cg16536330",-0.019099053
"cg17536822",-0.007406077
"cg18125510",-0.004222763
"cg13689560",0.001221271
"cg24129390",0.005090922
"cg26140475",-0.028634254
"cg03404662",-0.000974538
"cg03547181",0.00217637
"cg05304729",-0.016806747
"cg21389309",0.005555246
"cg00670942",0.008678879
"cg07839457",-0.080321387
"cg09122035",-0.002411567
"cg13826862",0.015055901
"cg14831166",0.007630686
"cg17636693",-0.005446903
"cg24461506",0.013372559
"cg04659154",0.003888201
"cg27341636",0.009869957
"cg19628299",-0.003558262
"cg02462812",-0.022296183
"cg22874989",0.001524784
"cg05146888",-0.00629656
"cg27360300",0.003968196
"cg13020868",0.006313746
"cg06723525",0.00044803
"cg07554626",-0.035776392
"cg01234610",0.0112845
"cg02476533",0.008844058
"cg10180058",0.025526551
"cg06690548",-0.008376955
"cg22506801",0.003162076
"cg09077443",0.004735641
"cg16108823",-0.003531739
"cg05165982",-0.014250936
"cg26011692",0.000119365
"cg24691965",0.005668736
"cg02128564",0.003529616
"cg25762658",-0.002238521
"cg17900127",-0.004644165
"cg25736517",0.007567733
"cg11859384",-0.016019734
"cg19075225",0.01096135
"cg15203403",-0.002387069
"cg26914630",0.005134413
