"pred.var","coef"
"cg16364629",0.077061077
"cg11062466",0.044029447
"cg20245116",0.009784891
"cg00137234",0.171254556
"cg22943590",-0.003192002
"cg06688763",0.672268266
"cg05620980",1.003800113
"cg22879098",-0.019855753
"cg11532431",0.18523476
"cg14644378",-0.388887332
"cg16611584",0.06226729
"cg17900076",0.352475684
"cg25694755",0.222412962
"cg00562553",0.205036365
"cg14382976",0.063800598
"cg24125828",0.252818782
"cg15697225",0.013910289
"cg19761245",0.062560401
"cg24086068",-0.144798771
"cg27478242",0.095393626
"cg26687173",0.425834014
"cg01413354",-0.511640288
"cg21136499",-0.172309605
"cg12944006",0.229343188
"cg11613559",0.030512207
"cg01438090",-0.3782012
"cg14476101",-1.350304037
"cg06898549",0.700910936
"cg10548968",-0.756565341
"cg14147832",-0.414487278
"cg15614883",0.482751684
"cg19693031",-6.896286937
"cg03957095",0.668173491
"cg15243034",0.453854311
"cg07960624",-0.504426543
"cg20164887",0.304186318
"cg03810301",0.146400068
"cg09718251",0.031006898
"cg03283990",-0.001747499
"cg25162533",0.977102438
"cg08216099",-1.171424652
"cg02667103",-1.595631969
"cg04042861",0.78872736
"cg12800028",1.453494373
"cg21507987",-0.908777949
"cg12058544",0.516713143
"cg00151370",0.697792731
"cg17501210",-1.870142634
"cg05200037",0.248538032
"cg08822779",-0.06592031
"cg19750657",1.163530072
"cg03345232",0.224158105
"cg01039763",0.007079272
"cg03861347",-0.066587564
"cg27349018",-0.405630439
"cg17051318",-0.014864053
"cg08381918",-0.107153434
"cg03137071",-0.001301856
"cg05138150",-0.436055853
"cg09732711",-0.084968225
"cg20515101",-0.109043182
"cg12524553",1.440219341
"cg06077305",0.440494804
"cg13081213",-1.246298364
"cg23006040",-2.162549939
"cg19402483",0.625852652
"cg08342194",1.310564579
"cg07504977",1.847892144
"cg17836612",0.516035535
"cg19180827",-0.218102591
"cg17163527",-0.759769287
"cg02173128",-1.49022568
"cg25149253",0.281913192
"cg10364249",0.745712565
"cg07814318",1.599393013
"cg06586046",-0.023532097
"cg05347965",0.051104564
"cg11869499",0.876564492
"cg27588321",-0.997364714
"cg25518571",-0.303359958
"cg26952662",0.104876689
"cg07923390",0.723443979
"cg10524620",0.169739984
"cg04661457",0.976572613
"cg05356511",0.012378937
"cg26470501",-0.316639615
"cg17642941",-0.172870391
"cg02011054",0.209707053
"cg00472758",0.953742987
"cg06192883",2.983477308
"cg01680573",0.128138476
"cg04643527",1.382915877
"cg25436152",0.577353309
"cg02095334",-0.713792718
"cg20610177",0.739725078
"cg16614500",1.02479953
"cg14692377",0.212850104
"cg24989962",2.825700597
"cg16526732",0.360350227
"cg12683120",1.01122228
"cg04519177",3.115966584
"cg27243685",2.169668231
"cg02575319",0.100343564
"cg24694018",-0.041240163
"cg06897145",0.538123981
"cg01845764",-0.264031028
"cg22353329",0.266364239
"cg14428590",-0.052894657
"cg13651246",-0.046427849
"cg04126866",1.405263936
"cg11024682",3.301577031
"cg07630327",0.059531071
"cg20505728",0.241245452
"cg22914987",0.667825951
"cg02482730",0.055222095
"cg13123009",2.273489289
"cg26322739",0.301899521
"cg13691060",-0.78358609
"cg26560222",0.193210921
"cg18747283",-0.764106329
"cg01787285",-1.750483971
"cg21118939",-0.57649145
"cg16908898",-0.009079069
"cg12651742",-1.070105517
"cg06500161",4.689820689
"cg26464626",0.590371192
"cg07393854",-0.073220846
"cg23840988",0.242380117
"cg01359236",-0.712689318
"cg10676309",0.434954563
"cg19958750",2.447437164
"cg15081720",0.046488968
"cg02086166",0.154990469
"cg06748978",0.408558458
"cg07514618",1.931942613
"cg17066943",-0.865104245
"cg25616160",1.969614402
"cg15616998",-0.092657491
"cg10246083",0.475216493
"cg09613130",-0.080738354
"cg00059930",0.141088405
"cg07148370",0.581534314
"cg00377332",0.395421129
"cg12198639",0.716751959
"cg21727276",0.098829944
