"pred.var","coef"
"cg01469027",0.002861354
"cg11930554",0.000468194
"cg01027739",0.003229189
"cg02741521",0.001421841
"cg00439658",0.001824491
"cg17737621",0.003609111
"cg02973171",0.004946632
"cg16419235",0.026170823
"cg06728103",0.013549336
"cg04487855",0.002563215
"cg11835347",0.004585673
"cg18599996",-0.002380227
"cg00059225",0.006342721
"cg13772414",0.003904935
"cg21572722",0.018105774
"cg21967368",-0.015893086
"cg00542975",0.007963413
"cg07839457",-0.051084321
"cg27209729",-0.00872837
"cg18335796",0.010226569
"cg03569876",0.003014571
"cg24405716",0.013349164
"cg17280398",-0.001514866
"cg02030270",-0.004759026
"cg06685437",0.001144282
"cg20320946",-0.000456241
"cg21226253",-0.002356647
"cg05036615",0.021533158
"cg04258133",-0.006279604
"cg04327247",-0.004123358
"cg05168141",-0.022810545
"cg05260733",-0.002152698
