"pred.var","coef"
"cg18958844",0.007384177
"cg22234194",-0.002376644
"cg14583869",0.011520463
"cg00624834",-0.014458385
"cg03747028",0.014276026
"cg17849194",0.005241754
"cg26819388",0.02031341
"cg08432650",-0.028917598
"cg06552369",0.000237467
"cg23695707",-0.009197081
"cg23548920",0.009576009
"cg22332891",0.013093973
"cg19162106",0.000768616
"cg18069290",0.024218515
"cg16268863",-0.013141337
"cg04441898",-0.019121702
"cg02901408",0.002378156
"cg01378090",0.002236128
"cg06341177",-0.001133634
"cg00705668",0.00177659
"cg07638904",0.012446982
"cg22377913",-0.010245684
"cg14072903",0.011563053
"cg12464869",-0.001824121
"cg09366988",0.00486538
"cg09803407",-0.002949619
"cg23676114",0.000197907
"cg16505237",0.016033711
"cg21149582",0.000950957
"cg19343809",-0.010094055
"cg15457276",-0.011574038
"cg10489124",0.017399717
"cg18022362",-0.001154221
"cg05372242",0.000153028
"cg26499055",0.0014331
"cg19664712",0.001042333
"cg15908186",-0.022572736
"cg23955431",0.006250717
"cg08214584",0.000483869
"cg26808592",0.000201782
"cg10395448",0.004873304
"cg03976877",-0.001128933
"cg26925463",0.000642171
"cg00216138",-0.001911512
"cg00394316",0.007280611
"cg01802258",-0.004059632
"cg06908458",-0.019124932
"cg20118306",-0.006661691
"cg03607117",0.020450684
"cg01538998",0.001663611
"cg01176947",0.005013735
"cg03508212",0.00247809
"cg06679694",0.001766268
"cg19459094",0.01385087
"cg13181974",-0.003082258
"cg05468843",0.105945409
"cg11380830",-0.005905269
"cg26769927",-0.000505705
"cg26550235",-0.016622289
"cg17526301",0.004533866
"cg09002922",0.003094947
"cg24947456",0.051451758
"cg11192541",0.007877707
"cg20732076",0.012154024
"cg11248254",-0.001172673
"cg08009669",-0.001396706
"cg23193365",-0.002106695
"cg18468088",0.013692016
"cg26161329",0.017350886
"cg16419235",0.048013717
"cg26921969",0.003761677
"cg02613937",0.005616447
"cg17326555",0.003567856
"cg06346335",0.000769214
"cg01842720",-0.026988369
"cg11492723",-0.014217786
"cg00329615",-0.005154163
"cg16407699",0.021865867
"cg02361903",-0.016023131
"cg00758915",0.005995106
"cg12261095",-0.025344744
"cg00475322",-0.004718282
"cg24843346",-0.006515013
"cg05227621",0.004001835
"cg19637821",-0.003641685
"cg22825202",-0.005720034
"cg03780733",0.007323247
"cg04959790",-0.000966639
"cg04903509",0.001289351
"cg25457927",0.008266305
"cg10512089",-0.002577162
"cg14582913",0.005904008
"cg01484915",-0.000947631
"cg19043207",-0.021683003
"cg03636183",0.024995697
"cg16238336",0.002580174
"cg20133890",-0.032602809
"cg03403996",-0.006096187
"cg05150327",-0.011990902
"cg09262100",-0.003885671
"cg22905282",-0.000838822
"cg20776947",0.005603104
"cg10246448",-0.006137887
"cg25203007",0.030111965
"cg00729133",0.014920948
"cg17131445",0.023897576
"cg03469456",-0.006153747
"cg04074908",-0.010372378
"cg09426937",-0.000706586
"cg17831694",-0.000624716
"cg27286614",-0.036588451
"cg12135835",-0.007522032
"cg19779005",0.003527756
"cg07328664",-0.028189804
"cg01692110",-0.008082142
"cg16027147",-0.004694792
"cg07433178",-0.003706705
"cg15626285",-0.009416869
"cg00898480",0.002921369
"cg00493609",0.002371666
"cg20544605",-0.008246123
"cg13609167",0.009034017
"cg03389701",-0.007196524
"cg21837358",0.000474903
"cg23462144",-0.001236028
"cg25203627",-0.005710866
"cg15688683",-0.001464682
"cg27168410",0.023039151
"cg03915012",-0.000167443
"cg05179921",-0.000174294
"cg05187549",-0.017229296
"cg02261696",0.01050069
"cg14401309",0.001164378
"cg12728623",-0.00400667
"cg10310700",-0.034780348
"cg25406989",-0.024201894
"cg23198558",-0.019566053
"cg23055735",-1.9e-05
"cg02034204",0.000353241
"cg00197373",0.00078663
"cg08527460",0.004842469
"cg13235891",-0.007298245
"cg11084571",-0.002457792
"cg27638778",-0.00085917
"cg24788771",-0.012910628
"cg19602485",-0.015124385
"cg23033014",-0.002301323
"cg24122049",0.000518602
"cg05661459",-0.005329411
"cg09622557",-0.009645547
"cg08635618",-0.003840306
"cg03142751",0.012175081
"cg14604065",-0.022752727
"cg01443488",0.000291145
"cg19815917",0.009105708
"cg20396385",-0.026213496
"cg07503211",-0.082530484
"cg17412651",0.042921645
"cg16174225",-0.003382859
"cg00181849",-0.022721901
"cg21728844",-0.0095333
"cg23850637",-0.002462944
"cg20032789",0.003434008
