"pred.var","coef"
"cg16285203",-0.002545815
"cg01579299",0.006038096
"cg17568035",0.00137152
"cg16981259",-0.006586354
"cg06286308",0.010074684
"cg15674596",-0.005403528
"cg20353496",-0.004121462
"cg25746226",0.000418862
"cg03053687",0.002273797
"cg24791575",0.041696067
"cg08669718",-0.005867307
"cg08864245",0.008899861
"cg18439734",0.005418807
"cg02227919",0.015369059
"cg27143370",-0.022210515
"cg03785303",-0.008288555
"cg01308151",-0.016136508
"cg24472477",0.021650525
"cg09917562",-0.002896198
"cg03578473",0.002980152
"cg12741420",-0.019384093
"cg04892836",-0.006775309
"cg24940576",-0.008124551
"cg06512849",-0.009593395
"cg18495563",0.014843829
"cg16899442",-0.000208571
"cg10636246",0.008888058
"cg18376497",0.007852285
"cg10919522",0.021204671
"cg25914921",-0.00042028
"cg11115427",0.002661631
"cg09421111",-0.001249799
"cg03639917",0.003836167
"cg00758881",-0.012030215
"cg00678361",-0.015914503
"cg18585314",0.012895033
"cg11020853",-0.012356906
"cg19585100",-0.011870523
"cg19734370",-0.011216266
"cg04885881",0.005197145
"cg05177590",0.040596066
"cg24932585",-0.047215037
"cg03660096",0.006280553
"cg22998028",-0.008994939
"cg00978427",0.00440252
"cg14270302",-0.020961046
"cg25540032",-0.039161259
"cg19405177",0.004920276
"cg22534374",2.94e-05
"cg00596207",0.000164512
"cg05232133",0.027826416
"cg12214032",-0.001554679
"cg13462890",-0.017040994
"cg13661397",0.005582947
"cg19233761",-0.002701742
"cg20036162",-0.03612818
"cg23283288",0.000751006
"cg23530473",0.013668067
"cg12073833",0.005173702
"cg14476101",0.018998289
"cg00022024",0.002102596
"cg08002427",-0.016993528
"cg00145732",0.002392197
"cg23923934",0.018609521
"cg21566642",0.014028928
"cg03636183",0.020857205
"cg09128529",-0.005327136
"cg16342298",-0.008877058
"cg15234845",-0.004730885
"cg04003990",0.001748351
"cg27058052",-0.010052089
"cg07846874",-0.00807763
"cg10669129",0.015286902
"cg01205267",0.010396038
"cg17346650",0.020015097
"cg19905213",-0.001573131
"cg27123522",0.011885101
"cg17501210",0.020280352
"cg20349598",0.015909406
"cg00501711",-0.002985614
"cg17853642",0.001704025
"cg00532122",-0.000398118
"cg20660350",-0.010179348
"cg27048432",0.009087208
"cg02165692",0.025486279
"cg13945667",0.005186002
"cg14011070",-0.009082166
"cg04094193",-0.005192657
"cg05308979",-0.008489126
"cg23542533",0.034070187
"cg06690548",0.01254728
"cg22995042",0.008597213
"cg27165033",-0.006369374
"cg15001618",-0.002745214
"cg26659797",0.016687798
"cg27512868",-0.001859597
"cg13684115",-0.002965725
"cg00685614",0.009401283
"cg07916022",0.00100465
"cg04086087",-0.00597649
"cg05645440",-0.002499009
"cg06294591",-0.004846756
"cg05575921",0.02788778
"cg17495627",0.006408171
"cg09545894",-0.007920544
"cg08386867",0.010719146
"cg01242677",-0.004961614
"cg13154908",0.022401179
"cg06233738",0.00997496
"cg05593726",0.008920578
"cg00372132",0.012555445
"cg21811911",-0.01475744
"cg19342102",0.001950799
"cg00251270",-0.020557629
"cg06547557",0.002150792
"cg17502527",0.00121801
"cg16541869",0.00687748
"cg25934673",-0.003873975
