"pred.var","coef"
"cg17470837",-0.009618934
"cg07596209",-0.00553507
"cg05867423",-0.002223574
"cg21244397",-0.000325491
"cg11968436",0.002344793
"cg10663781",0.001258382
"cg07015725",0.006986319
"cg02302400",0.00137781
"cg03359285",-0.005602687
"cg04393897",-0.000725389
"cg16253537",0.011281629
"cg26382075",-0.003109217
"cg17872853",0.003571605
"cg20521715",0.011875018
"cg18417464",-0.005820209
"cg13138952",0.004067884
"cg15291304",-0.003602857
"cg01082111",-0.002150098
"cg02976568",-0.005906768
"cg18681998",0.000334466
"cg15002204",-0.014769374
"cg01006077",0.001441468
"cg23218943",0.00673142
"cg01225698",-0.002997272
"cg06321998",0.011273314
"cg06215416",-0.003431233
"cg01572696",0.05416581
"cg18745416",0.008352593
"cg04058237",-0.01911077
"cg07283582",0.012022296
"cg19795235",-0.008547018
"cg00433296",0.005764126
"cg23847262",-0.013619728
"cg10188410",-0.022969357
"cg10310682",0.007649109
"cg00090282",-0.012693139
"cg10389148",-0.008187845
"cg21561989",0.002037519
"cg17271146",-0.005369173
"cg25946681",0.000848347
"cg25225607",0.002074227
"cg01330741",0.005845302
"cg16461248",0.008948038
"cg06444374",0.007867882
"cg26528531",0.004951923
"cg05840707",-0.005296231
"cg06312132",0.006541112
"cg21616051",0.037747636
"cg00121465",0.008050026
"cg08530934",0.002333514
"cg18639734",0.006909131
"cg25688164",0.00194914
"cg16547271",0.00760299
"cg16067628",0.004539238
"cg05608511",0.006118092
"cg26914616",0.010442444
"cg04198323",0.00658277
"cg10822339",0.01136426
"cg24226891",0.002062174
"cg14538437",0.003864135
"cg23969508",0.010350278
"cg14128173",0.001988778
"cg25769980",0.02188826
"cg04389439",0.007198936
"cg01335785",-0.03742648
"cg21770322",0.000571139
"cg13766489",-0.000382864
