"pred.var","coef"
"cg25291907",0.006180075
"cg15248353",0.003774613
"cg22069342",0.015039221
"cg23166357",0.002223589
"cg24880886",0.004441704
"cg13195266",0.015328276
"cg13134535",0.039347363
"cg14123923",-0.009208259
"cg15340887",0.0004117
"cg06839611",0.014276888
"cg00713113",-0.002328765
"cg24688856",0.008371885
"cg23431468",-0.00334687
"cg01831476",-0.003145615
"cg27166649",0.003951079
"cg03604067",-0.00074746
"cg03558537",-0.011997977
"cg19132496",-0.022802491
"cg01133662",0.035952045
"cg03023437",-0.003638202
"cg06222048",-0.006188648
"cg07450726",0.011829865
"cg12812502",0.006586161
"cg22177356",0.030173618
"cg03114244",0.016685788
"cg12954230",0.00506911
"cg09825713",-0.002411344
"cg06883736",0.000501459
"cg02450742",0.013255358
"cg13975625",0.024029431
"cg11973479",-0.000393103
"cg21073637",0.023697024
"cg24361620",-0.009988426
"cg20742234",-0.003002445
"cg06745885",0.050524184
"cg12832988",-0.02728027
"cg16941656",-0.005610839
"cg18312587",0.001324917
"cg12094543",-0.005991263
"cg15687138",0.009923111
"cg17545346",-0.001437294
"cg17565880",0.047985766
"cg16546622",-0.004181134
"cg23934927",0.011049514
"cg22930650",0.001132858
"cg05202804",-0.00694323
"cg09472004",-0.00279206
"cg11621104",0.003563991
"cg14192957",-0.004142094
"cg19444155",-0.00372841
"cg27636536",0.001542055
"cg18175808",0.001766071
"cg19416600",0.004238282
"cg09962198",0.019712561
"cg26950953",-0.010898676
"cg13528854",-0.000935465
"cg00574958",0.002192437
"cg01503348",0.005075768
"cg20104456",-0.005776323
"cg00032756",0.021942097
"cg19053479",-0.004848159
"cg01411921",0.016326564
"cg19367232",-0.003361806
"cg21726079",0.005718832
"cg18560776",-0.008922852
"cg17729667",-0.011461327
"cg14288281",-0.00034333
"cg03627880",0.006694858
"cg11491749",0.013845301
"cg01893669",0.001502302
"cg04106196",0.007056155
"cg09628962",-0.002830117
"cg06991974",-0.00683334
"cg12598089",-0.005902504
"cg05731801",0.001069065
"cg18419534",0.006386011
"cg15940569",-0.002070397
"cg00008629",0.008283161
"cg23327859",0.000678672
"cg08173263",-0.089900892
"cg13993914",-0.014306188
"cg20507228",-0.022770201
"cg18419358",0.019384951
"cg16267202",-0.000117578
"cg09209257",-0.007882087
"cg25541928",-0.000193031
"cg22698629",-0.003129766
"cg01329690",0.017503723
"cg06969845",0.024113482
"cg23205886",0.002602028
"cg09722609",-0.014003297
"cg06712204",-0.000352374
"cg20045970",-0.015392627
"cg21584846",-0.000178514
"cg09280976",0.004644254
"cg04757345",0.015917017
"cg13010869",0.001868864
"cg22540067",-0.024248337
"cg01751245",0.008719917
"cg18346531",0.019641202
"cg23681219",0.018007334
"cg11332505",0.005208222
"cg18758405",-0.011096191
"cg12946440",0.007452731
"cg01923514",-0.006802475
"cg21946631",0.001592113
"cg00684790",-0.006740456
"cg21024234",-0.009761398
"cg26720235",0.008054913
"cg14296274",-0.010018304
"cg12045999",-0.007031926
"cg01012082",-0.004646031
"cg05899869",-0.000121801
"cg23746050",0.000581568
"cg21356630",0.009067871
"cg21551985",-0.010063861
"cg15742515",-0.009811915
"cg20474972",0.003543984
"cg14585892",0.002747235
"cg23531468",-0.013529547
"cg23838173",-0.002513013
"cg27597473",-0.00580831
"cg17588094",0.010101592
"cg04840051",-0.007687665
"cg07435215",0.000508705
"cg03748042",0.005601868
"cg25188760",-0.007574077
"cg02314348",0.021315224
"cg21785010",-0.012826362
"cg24159253",-0.025319438
"cg10192797",-0.014030104
"cg05343755",-0.003618254
"cg09489470",0.001807382
"cg24083294",-0.020384203
"cg13599649",0.027672149
"cg08057411",-0.00209912
"cg18236745",-0.064598339
"cg11868728",-0.045813593
"cg21083467",-0.021892797
"cg03574765",0.001007586
"cg19250315",-0.000898264
"cg16818056",-0.001107536
"cg02877029",-0.00048162
"cg02384501",-0.036196104
"cg19596509",-0.006491132
"cg06624020",-0.004546267
"cg15637528",-0.012850138
"cg02130329",0.003391777
"cg21250978",0.01852375
"cg13037462",0.006573467
"cg25060525",0.012840556
"cg02614549",-0.00380504
"cg27172557",4.99e-05
"cg04315255",0.004306787
"cg16914508",-0.017424879
"cg16954165",-0.005564627
"cg25880365",-0.14956678
"cg18405079",0.015624815
"cg26101714",0.000503494
"cg22792552",0.001538505
"cg26832832",0.012314215
"cg04456284",-0.040118598
"cg12150931",0.03969661
"cg13953629",0.019293361
"cg24902435",0.005677739
"cg25979157",-0.00209243
"cg02994246",-0.020299897
"cg18308755",0.009668091
"cg23795234",-0.00069073
"cg23886978",-0.007301069
"cg13133503",0.004546953
"cg03257255",-0.000312011
"cg19669785",-0.003113776
"cg07191900",-0.001663647
"cg16048239",0.007440141
"cg15891644",-0.020420582
"cg15010213",-0.003164624
"cg25942484",-0.005739411
"cg01225086",-0.003805679
