"pred.var","coef","target"
"cg01507044",0.029866946,"CXCL11_soma"
"cg25075644",0.007851817,"CXCL11_soma"
"cg26317405",0.007666171,"CXCL11_soma"
"cg27249178",0.010268228,"CXCL11_soma"
"cg07519515",0.017540001,"CXCL11_soma"
"cg17271338",0.021306532,"CXCL11_soma"
"cg27298085",0.025430818,"CXCL11_soma"
"cg24165667",0.023278583,"CXCL11_soma"
"cg11888571",0.01577638,"CXCL11_soma"
"cg01681367",-0.009304557,"CXCL11_soma"
"cg14304690",0.007993258,"CXCL11_soma"
"cg08724866",0.021771254,"CXCL11_soma"
"cg09410234",0.032758755,"CXCL11_soma"
"cg06668527",-0.006970958,"CXCL11_soma"
"cg10061342",-0.003606821,"CXCL11_soma"
"cg25170591",-0.002933433,"CXCL11_soma"
"cg25742246",0.010418548,"CXCL11_soma"
"cg25843003",-0.021093187,"CXCL11_soma"
"cg16411857",-0.01092673,"CXCL11_soma"
"cg10726816",-0.001582735,"CXCL11_soma"
"cg18132851",-0.001780982,"CXCL11_soma"
"cg16336494",-0.011394034,"CXCL11_soma"
"cg20519121",0.008414904,"CXCL11_soma"
"cg26612727",0.003195542,"CXCL11_soma"
"cg25198113",0.004893368,"CXCL11_soma"
"cg07839457",-0.101083661,"CXCL11_soma"
"cg12609063",0.001525796,"CXCL11_soma"
"cg00589305",-0.004792896,"CXCL11_soma"
"cg22572476",0.001281376,"CXCL11_soma"
"cg07081739",0.008303925,"CXCL11_soma"
"cg24856658",-0.008451267,"CXCL11_soma"
"cg00849990",-0.000523943,"CXCL11_soma"
"cg09386050",0.003475128,"CXCL11_soma"
"cg19311244",0.002171591,"CXCL11_soma"
"cg23038277",0.001156392,"CXCL11_soma"
"cg12639429",0.010139328,"CXCL11_soma"
"cg00246301",0.010506908,"CXCL11_soma"
"cg27336379",0.001091703,"CXCL11_soma"
"cg25008524",-0.004467285,"CXCL11_soma"
"cg20069939",-0.010241588,"CXCL11_soma"
"cg14750757",0.003180967,"CXCL11_soma"
"cg13049247",-0.017107455,"CXCL11_soma"
"cg11606575",0.005919101,"CXCL11_soma"
"cg25487430",0.010384073,"CXCL11_soma"
"cg24908097",-0.008226838,"CXCL11_soma"
"cg03256729",-0.004757384,"CXCL11_soma"
"cg16453901",-0.004896497,"CXCL11_soma"
"cg19162300",-0.003424067,"CXCL11_soma"
"cg01922433",0.001855728,"CXCL11_soma"
"cg26767085",-0.012397896,"CXCL11_soma"
"cg06858150",-0.007437298,"CXCL11_soma"
