"pred.var","coef"
"intercept",290.1693028
"Age",0.943695016
"cg13947317",4.995107941
"cg21272576",5.086186666
"cg03522107",28.64090328
"cg03259703",6.462732116
"cg05461666",-118.2184052
"cg15860924",-2.752854472
"cg10327168",-55.56800241
"cg24393673",-0.68338483
"cg23923856",0.826537999
"cg14476101",-8.586676239
"cg20569940",9.290790591
"cg10578779",281.4186657
"cg05996213",9.880138516
"cg03424844",-1.110060748
"cg19570545",-0.036802106
"cg20248954",202.8625672
"cg08138571",-114.2945715
"cg23814988",248.8973299
"cg20801751",5.330321417
"cg11333189",4.495867817
"cg08055490",-4.739003098
"cg09920725",133.7143638
"cg10354495",-2.240580494
"cg04659537",-3.311998464
"cg14088844",19.08178243
"cg07258300",2.631432555
"cg26191447",-24.07610093
"cg02831419",-8.626037131
"cg20550050",-32.40860705
"cg06266189",0.345722766
"cg12791136",7.794522996
"cg12918464",0.076637721
"cg14508777",5.470285587
"cg05993589",3.392103815
"cg23431721",-2.20865254
"cg07105440",-63.35973429
"cg03929796",-66.46278531
"cg23511118",32.68165953
"cg13155421",-52.51479305
"cg03840504",-21.92600492
"cg19389001",34.75292062
"cg15709989",3.480000435
"cg13296371",11.57923662
"cg21761813",10.68482913
"cg00398048",-2.430771968
"cg25149516",1.90060707
"cg10177080",1.949042658
"cg09578605",-6.186882892
"cg01817885",-0.561199166
"cg12980795",-2.215365911
"cg01256539",-22.38953803
"cg19076659",6.565413423
"cg05182912",154.5917047
"cg00543335",8.780850063
"cg21584251",1.39260576
"cg00558975",1.521634027
"cg01187498",11.47257503
"cg22983827",6.392047134
"cg02782857",15.04507647
"cg17286012",21.42136217
"cg02066343",33.32649707
"cg25325512",-10.66206904
"cg08373528",13.07569908
"cg15290848",-25.40055744
"cg08877853",-1.619207065
"cg01883195",22.34477027
"cg00936722",2.001725585
"cg00554421",-13.73013285
"cg11287647",0.091821765
"cg13917964",-4.750146934
"cg00277397",-34.25168527
"cg20352798",83.55911478
"cg10119082",-12.85067647
"cg17981101",-1.911747753
"cg03494277",23.21655891
"cg09315887",-1.512983576
"cg04599158",41.5191841
"cg02627240",-0.390016354
"cg01026009",-3.310325075
"cg03276920",2.836992896
"cg13398470",29.57212263
"cg07205627",3.288540264
"cg05065162",-9.621251574
"cg12396523",-5.4555329
"cg12831076",20.1541611
"cg22902266",70.11211348
"cg04661709",8.959489529
"cg01355108",1.507275686
"cg26581729",-10.6538073
"cg02613108",-1.23436743
"cg12329405",27.27577287
"cg20245361",5.253551809
"cg07793207",-13.89150047
"cg07733920",-1.834703826
"cg02415341",2.18369305
"cg12893697",0.754770472
"cg18886347",-15.62138504
"cg19083871",69.95094877
"cg13875901",3.515065537
"cg02970861",-21.76210025
"cg26967875",-1.878728646
"cg00574958",-80.96496179
"cg22355889",1.489051245
"cg05839709",2.696050234
"cg19061798",4.351119907
"cg11932091",46.07809226
"cg26527903",25.5733391
"cg24420742",-11.05087007
"cg10948795",2.178750962
"cg17117459",-35.63839407
"cg18331061",-43.55518841
"cg21879240",82.89379684
"cg20656525",6.651972215
"cg14543641",7.760629334
"cg04634427",0.28521053
"cg01624571",-65.5376954
"cg05575505",-17.86174228
"cg06051159",0.713204186
"cg00994306",-10.9663017
"cg02295856",14.60963382
"cg12991522",101.1043976
"cg00036119",0.689463511
"cg05995267",-4.058128178
"cg06722193",1.780571691
"cg05782444",4.259475662
"cg26943759",20.46026676
"cg05737638",13.10354261
"cg21649005",-32.55785717
"cg06419850",25.39924395
"cg19761014",9.720730502
"cg05174890",-0.10786789
"cg10431713",-20.88227304
"cg02483931",4.999704799
"cg07477034",-35.77986404
"cg15815084",-3.431667299
"cg12054453",-4.419866944
"cg03568017",-7.308895922
"cg02633924",-38.77054308
"cg18181703",-82.42366711
"cg27637521",-112.3708679
"cg05420896",-6.656664064
"cg19283806",-6.023985241
"cg27569863",1.440760668
"cg13611456",-17.71192834
"cg10677351",-5.329235892
"cg15011409",2.016355057
"cg17676631",2.25794704
"cg11594160",2.751829622
"cg26950531",-7.325424119
"cg22538557",129.1408871
"cg23278885",-11.40976314
"cg08074820",-12.69566628
"cg11086127",9.596978548
"cg00412842",6.598674744
"cg27294156",-5.12356672
"cg22163406",31.01081623
"cg08334432",-17.16080848
"cg06133392",3.807023379
"cg23573129",1.521113068
"cg20585830",-13.05018979
"cg19253577",11.75397955
"cg09219182",2.931727048
"cg01708387",0.525023423
"cg18476633",4.01521121
"cg26341773",4.184173624
"cg25034591",11.46347893
"cg03102848",66.09310945
"cg18154457",-14.68732153
"cg11924796",-7.299796544
"cg08871010",-18.90867665
"cg06780601",-13.2113598
"cg27395754",-33.60931189
"cg02587153",3.084085092
"cg15192905",7.930964895
"cg08352336",0.252529729
"cg01997410",0.174798146
"cg16730484",-15.29699136
"cg22686892",2.485455031
"cg14073590",6.402178278
"cg07989867",8.172392064
"cg21080294",0.086318377
"cg14680768",0.86072996
"cg10142252",12.53463601
"cg18717447",11.48152154
"cg03960747",-6.028824091
"cg16832801",-9.244571483
